,Date,o,h,l,c,v
0,2022-07-11 09:15:00,30.55,30.8,30.55,30.65,1319275
1,2022-07-11 09:30:00,30.65,30.85,30.5,30.8,2612355
2,2022-07-11 09:45:00,30.85,30.95,30.75,30.9,3385416
3,2022-07-11 10:00:00,30.9,30.9,30.8,30.85,4122671
4,2022-07-11 10:15:00,30.85,30.95,30.8,30.95,4638784
5,2022-07-11 10:30:00,30.9,30.95,30.9,30.95,4926611
6,2022-07-11 10:45:00,30.95,30.95,30.85,30.9,5346557
7,2022-07-11 11:00:00,30.9,30.95,30.85,30.85,5634595
8,2022-07-11 11:15:00,30.9,30.9,30.8,30.85,6051542
9,2022-07-11 11:30:00,30.8,30.9,30.75,30.8,6444717
10,2022-07-11 11:45:00,30.75,30.8,30.75,30.8,6673074
11,2022-07-11 12:00:00,30.8,30.85,30.75,30.8,7004771
12,2022-07-11 12:15:00,30.85,30.85,30.8,30.85,7219022
13,2022-07-11 12:30:00,30.85,30.85,30.7,30.8,8188698
14,2022-07-11 12:45:00,30.8,31.05,30.75,31.0,9979826
15,2022-07-11 13:00:00,31.0,31.05,30.9,31.05,10954245
16,2022-07-11 13:15:00,31.0,31.05,30.85,30.9,11737158
17,2022-07-11 13:30:00,30.85,31.0,30.85,30.95,12786277
18,2022-07-11 13:45:00,31.0,31.0,30.9,31.0,13258393
19,2022-07-11 14:00:00,30.95,31.1,30.95,31.05,14227214
20,2022-07-11 14:15:00,31.05,31.15,31.0,31.15,15349571
21,2022-07-11 14:30:00,31.1,31.15,31.0,31.05,16053139
22,2022-07-11 14:45:00,31.05,31.1,31.0,31.05,16685449
23,2022-07-11 15:00:00,31.0,31.1,31.0,31.05,17356889
24,2022-07-11 15:15:00,31.05,31.1,30.9,30.9,20400568
25,2022-07-11 15:30:00,30.95,31.05,30.95,31.05,20443523
26,2022-07-12 09:15:00,30.8,30.95,30.75,30.85,1021455
27,2022-07-12 09:30:00,30.9,30.95,30.85,30.9,1869917
28,2022-07-12 09:45:00,30.9,30.95,30.85,30.9,2358975
29,2022-07-12 10:00:00,30.95,31.05,30.9,31.0,2973402
30,2022-07-12 10:15:00,31.05,31.15,31.0,31.1,3586722
31,2022-07-12 10:30:00,31.1,31.15,31.05,31.05,4168850
32,2022-07-12 10:45:00,31.1,31.15,31.05,31.15,4582072
