,Date,o,h,l,c,v
0,2022-07-11 09:15:00,334.9,335.75,332.0,332.2,9147
1,2022-07-11 09:30:00,332.2,332.65,330.1,332.15,15524
2,2022-07-11 09:45:00,331.9,334.0,331.9,333.75,21978
3,2022-07-11 10:00:00,333.55,334.5,332.1,332.2,29974
4,2022-07-11 10:15:00,332.2,333.5,332.15,333.1,33044
5,2022-07-11 10:30:00,333.1,333.6,332.2,332.7,33579
6,2022-07-11 10:45:00,332.7,334.0,332.45,332.55,86036
7,2022-07-11 11:00:00,332.55,333.05,332.5,332.55,86873
8,2022-07-11 11:15:00,333.0,333.0,331.9,331.9,87679
9,2022-07-11 11:30:00,332.0,332.0,330.8,330.9,88789
10,2022-07-11 11:45:00,330.9,331.0,330.55,330.7,90242
11,2022-07-11 12:00:00,330.7,332.95,330.7,332.45,91913
12,2022-07-11 12:15:00,332.45,332.6,331.7,331.7,92596
13,2022-07-11 12:30:00,331.7,331.7,331.0,331.2,93057
14,2022-07-11 12:45:00,331.2,331.95,331.05,331.95,94062
15,2022-07-11 13:00:00,331.8,332.95,331.65,332.4,94942
16,2022-07-11 13:15:00,332.85,333.3,332.5,333.0,98347
17,2022-07-11 13:30:00,333.05,333.35,332.8,332.8,99641
18,2022-07-11 13:45:00,332.8,333.3,332.8,332.95,99918
19,2022-07-11 14:00:00,332.95,333.35,332.9,332.9,101580
20,2022-07-11 14:15:00,333.05,333.1,332.65,332.65,103057
21,2022-07-11 14:30:00,332.65,332.75,332.65,332.65,104042
22,2022-07-11 14:45:00,332.65,333.0,331.15,332.55,109348
23,2022-07-11 15:00:00,332.4,334.65,332.4,334.6,114314
24,2022-07-11 15:15:00,334.55,339.7,334.55,339.65,156148
25,2022-07-11 15:30:00,337.9,337.9,337.9,337.9,156148
26,2022-07-12 09:15:00,338.85,339.85,337.45,339.1,8694
27,2022-07-12 09:30:00,339.1,341.45,338.05,341.45,18300
28,2022-07-12 09:45:00,341.4,342.3,340.3,341.85,28494
29,2022-07-12 10:00:00,341.85,343.85,341.85,342.55,41269
30,2022-07-12 10:15:00,342.55,344.0,342.5,343.6,49235
31,2022-07-12 10:30:00,343.6,343.9,342.3,342.3,57183
32,2022-07-12 10:45:00,342.6,342.85,341.9,342.85,63979
