,Date,o,h,l,c,v
0,2022-07-25 09:15:00,249.85,250.6,247.6,247.6,4571
1,2022-07-25 09:30:00,247.6,249.0,247.05,248.65,15176
2,2022-07-25 09:45:00,248.65,248.65,247.8,248.0,17792
3,2022-07-25 10:00:00,248.25,249.1,247.8,249.1,24095
4,2022-07-25 10:15:00,249.25,249.5,248.1,248.45,34167
5,2022-07-25 10:30:00,248.45,249.0,248.05,248.8,35142
6,2022-07-25 10:45:00,248.8,248.85,248.45,248.8,35926
7,2022-07-25 11:00:00,248.8,248.8,248.0,248.0,37323
8,2022-07-25 11:15:00,248.0,248.45,247.9,248.0,38507
9,2022-07-25 11:30:00,248.0,248.45,247.9,248.0,39810
10,2022-07-25 11:45:00,248.0,248.3,248.0,248.3,41239
11,2022-07-25 12:00:00,248.3,248.6,248.25,248.3,44197
12,2022-07-25 12:15:00,248.3,248.7,248.3,248.65,46142
13,2022-07-25 12:30:00,248.65,248.75,248.25,248.4,48497
14,2022-07-25 12:45:00,248.5,248.55,248.25,248.25,50603
15,2022-07-25 13:00:00,248.25,248.3,248.0,248.3,51049
16,2022-07-25 13:15:00,248.35,248.4,248.0,248.1,52138
17,2022-07-25 13:30:00,248.1,248.35,248.0,248.35,52630
18,2022-07-25 13:45:00,248.35,248.5,248.05,248.2,54098
19,2022-07-25 14:00:00,248.45,248.45,248.0,248.05,55638
20,2022-07-25 14:15:00,248.25,248.75,248.05,248.3,57668
21,2022-07-25 14:30:00,248.3,248.3,248.0,248.2,59661
22,2022-07-25 14:45:00,248.2,248.65,248.0,248.15,63912
23,2022-07-25 15:00:00,248.05,248.5,247.7,248.2,78064
24,2022-07-25 15:15:00,248.25,248.5,247.95,248.05,86365
25,2022-07-25 15:30:00,248.0,248.05,248.0,248.05,91406
