,Date,o,h,l,c,v
0,2022-07-11 09:15:00,251.1,255.5,251.0,252.35,495897
1,2022-07-11 09:30:00,252.35,254.45,251.8,254.4,684604
2,2022-07-11 09:45:00,254.35,254.5,252.5,252.5,758100
3,2022-07-11 10:00:00,252.5,256.7,252.25,255.35,1042623
4,2022-07-11 10:15:00,255.5,255.75,254.65,255.2,1097797
5,2022-07-11 10:30:00,255.3,255.3,253.25,253.5,1200087
6,2022-07-11 10:45:00,253.5,254.65,253.0,253.55,1277903
7,2022-07-11 11:00:00,253.55,253.55,252.65,253.0,1346337
8,2022-07-11 11:15:00,253.0,253.0,251.4,251.85,1490091
9,2022-07-11 11:30:00,251.85,252.6,250.7,251.15,1582053
10,2022-07-11 11:45:00,251.0,252.0,250.6,251.95,1635690
11,2022-07-11 12:00:00,251.95,253.5,251.95,253.2,1701367
12,2022-07-11 12:15:00,253.15,253.35,252.85,253.2,1726024
13,2022-07-11 12:30:00,253.25,253.95,251.95,252.1,2082825
14,2022-07-11 12:45:00,252.1,252.8,252.0,252.6,2112190
15,2022-07-11 13:00:00,252.5,253.6,252.3,253.3,2148292
16,2022-07-11 13:15:00,253.3,253.9,252.45,252.55,2222099
17,2022-07-11 13:30:00,252.65,254.5,252.5,254.1,2308183
18,2022-07-11 13:45:00,254.0,256.5,253.95,256.25,2528007
19,2022-07-11 14:00:00,256.25,256.3,254.65,255.3,2649026
20,2022-07-11 14:15:00,255.3,256.15,254.75,255.7,2717326
21,2022-07-11 14:30:00,255.6,257.8,255.4,255.75,2877161
22,2022-07-11 14:45:00,255.75,256.5,254.7,255.8,2970671
23,2022-07-11 15:00:00,255.55,256.1,254.5,254.5,3079175
24,2022-07-11 15:15:00,254.35,255.8,254.35,255.15,3281730
25,2022-07-11 15:30:00,255.15,255.2,255.15,255.2,3282686
26,2022-07-12 09:15:00,253.25,254.95,252.55,254.45,171275
27,2022-07-12 09:30:00,254.35,256.7,254.0,255.85,519809
28,2022-07-12 09:45:00,255.85,256.2,254.25,254.65,850486
29,2022-07-12 10:00:00,254.65,254.9,254.05,254.05,923441
30,2022-07-12 10:15:00,254.05,254.5,253.05,254.0,981540
31,2022-07-12 10:30:00,254.0,254.65,252.55,253.0,1052295
32,2022-07-12 10:45:00,252.8,253.5,252.65,253.5,1247724
