,Date,o,h,l,c,v
0,2022-07-11 09:15:00,3289.85,3359.0,3283.9,3346.85,3793
1,2022-07-11 09:30:00,3350.0,3408.55,3340.25,3406.4,8007
2,2022-07-11 09:45:00,3403.75,3425.0,3376.45,3387.0,13063
3,2022-07-11 10:00:00,3387.0,3403.05,3380.2,3397.95,15283
4,2022-07-11 10:15:00,3398.0,3450.0,3395.0,3443.3,20246
5,2022-07-11 10:30:00,3444.0,3469.55,3440.0,3447.95,27354
6,2022-07-11 10:45:00,3447.95,3454.0,3440.0,3442.5,29887
7,2022-07-11 11:00:00,3442.5,3495.0,3442.0,3484.05,37165
8,2022-07-11 11:15:00,3485.1,3490.0,3457.45,3474.0,40165
9,2022-07-11 11:30:00,3474.0,3501.0,3466.0,3470.0,46210
10,2022-07-11 11:45:00,3470.0,3479.55,3460.0,3470.0,48705
11,2022-07-11 12:00:00,3470.0,3513.0,3465.1,3477.85,55877
12,2022-07-11 12:15:00,3477.85,3484.5,3456.2,3458.0,64452
13,2022-07-11 12:30:00,3458.0,3458.0,3445.3,3450.35,67127
14,2022-07-11 12:45:00,3450.35,3465.45,3450.35,3457.75,68609
15,2022-07-11 13:00:00,3457.75,3471.0,3452.75,3466.5,70046
16,2022-07-11 13:15:00,3466.5,3466.5,3441.0,3452.75,72467
17,2022-07-11 13:30:00,3452.75,3464.85,3452.75,3458.7,73020
18,2022-07-11 13:45:00,3458.7,3458.7,3440.0,3441.15,74974
19,2022-07-11 14:00:00,3441.0,3480.0,3441.0,3473.45,77944
20,2022-07-11 14:15:00,3470.85,3479.8,3460.0,3472.8,79421
21,2022-07-11 14:30:00,3472.8,3480.0,3460.7,3463.2,80568
22,2022-07-11 14:45:00,3463.2,3489.0,3457.6,3482.35,83066
23,2022-07-11 15:00:00,3482.35,3483.4,3450.3,3460.15,86925
24,2022-07-11 15:15:00,3462.1,3488.9,3451.75,3478.0,92763
25,2022-07-11 15:30:00,3470.0,3470.0,3470.0,3470.0,92763
26,2022-07-12 09:15:00,3500.0,3500.0,3453.2,3475.0,3202
27,2022-07-12 09:30:00,3475.0,3475.0,3464.85,3471.0,5945
28,2022-07-12 09:45:00,3471.0,3475.0,3460.65,3464.0,7000
29,2022-07-12 10:00:00,3464.0,3475.0,3464.0,3471.65,7894
30,2022-07-12 10:15:00,3471.65,3474.0,3465.8,3469.4,8558
31,2022-07-12 10:30:00,3469.4,3470.0,3465.75,3467.25,9130
32,2022-07-12 10:45:00,3466.4,3469.3,3450.4,3451.05,10333
