,Date,o,h,l,c,v
0,2022-07-25 09:15:00,1202.0,1218.0,1198.6,1217.65,744
1,2022-07-25 09:30:00,1217.65,1219.9,1211.15,1211.6,2657
2,2022-07-25 09:45:00,1211.6,1214.75,1210.5,1211.5,4442
3,2022-07-25 10:00:00,1211.7,1211.75,1210.0,1210.0,5017
4,2022-07-25 10:15:00,1210.0,1211.7,1209.0,1210.95,6230
5,2022-07-25 10:30:00,1210.95,1211.75,1209.0,1209.6,6821
6,2022-07-25 10:45:00,1209.6,1211.75,1206.05,1206.05,7492
7,2022-07-25 11:00:00,1206.05,1209.0,1206.05,1206.05,7764
8,2022-07-25 11:15:00,1206.05,1207.7,1190.65,1191.25,8736
9,2022-07-25 11:30:00,1191.25,1199.0,1191.25,1196.0,9851
10,2022-07-25 11:45:00,1199.05,1200.0,1187.0,1194.85,10587
11,2022-07-25 12:00:00,1194.85,1195.0,1190.35,1194.55,12356
12,2022-07-25 12:15:00,1194.55,1195.0,1194.55,1195.0,12582
13,2022-07-25 12:30:00,1195.0,1195.0,1190.65,1194.55,12786
14,2022-07-25 12:45:00,1191.4,1204.0,1191.4,1204.0,13121
15,2022-07-25 13:00:00,1204.0,1204.0,1190.4,1193.85,13942
16,2022-07-25 13:15:00,1193.85,1197.65,1193.85,1196.25,14405
17,2022-07-25 13:30:00,1196.25,1200.75,1195.2,1200.75,14642
18,2022-07-25 13:45:00,1200.75,1202.0,1200.0,1200.0,15192
19,2022-07-25 14:00:00,1200.0,1204.95,1200.0,1204.7,15662
20,2022-07-25 14:15:00,1204.7,1204.7,1195.55,1203.5,16177
21,2022-07-25 14:30:00,1203.5,1206.0,1200.15,1201.55,17272
22,2022-07-25 14:45:00,1201.55,1207.2,1201.55,1206.25,18169
23,2022-07-25 15:00:00,1205.05,1205.05,1198.05,1198.05,18597
24,2022-07-25 15:15:00,1198.05,1208.8,1198.05,1204.0,19914
25,2022-07-25 15:30:00,1203.65,1203.65,1203.65,1203.65,20300
