,Date,o,h,l,c,v
0,2022-07-25 09:15:00,114.7,114.75,112.7,112.85,10558
1,2022-07-25 09:30:00,112.85,113.35,112.3,112.65,24817
2,2022-07-25 09:45:00,112.7,112.75,112.0,112.25,50083
3,2022-07-25 10:00:00,112.25,112.25,111.9,112.0,56433
4,2022-07-25 10:15:00,112.0,112.55,111.65,112.0,64303
5,2022-07-25 10:30:00,112.0,112.15,110.8,110.85,79519
6,2022-07-25 10:45:00,110.85,111.15,110.3,110.6,100670
7,2022-07-25 11:00:00,110.6,111.25,110.2,110.55,112765
8,2022-07-25 11:15:00,110.55,111.05,110.5,111.0,117569
9,2022-07-25 11:30:00,111.0,111.45,110.75,110.85,122742
10,2022-07-25 11:45:00,110.75,111.2,110.75,111.0,125271
11,2022-07-25 12:00:00,111.0,111.45,110.8,111.0,131584
12,2022-07-25 12:15:00,111.0,111.55,110.7,110.7,140459
13,2022-07-25 12:30:00,110.7,111.0,110.7,110.8,148263
14,2022-07-25 12:45:00,110.8,111.2,110.8,111.0,149089
15,2022-07-25 13:00:00,111.0,111.1,110.7,110.75,150440
16,2022-07-25 13:15:00,110.65,111.15,110.6,111.0,153035
17,2022-07-25 13:30:00,111.0,111.6,111.0,111.6,158364
18,2022-07-25 13:45:00,111.7,112.5,111.6,112.0,183507
19,2022-07-25 14:00:00,112.0,112.1,110.8,111.05,205663
20,2022-07-25 14:15:00,111.05,111.4,111.05,111.4,223005
21,2022-07-25 14:30:00,111.4,111.7,111.2,111.5,225036
22,2022-07-25 14:45:00,111.5,111.85,111.5,111.85,227717
23,2022-07-25 15:00:00,111.85,111.85,111.0,111.1,233621
24,2022-07-25 15:15:00,111.1,111.65,111.0,111.45,246946
25,2022-07-25 15:30:00,111.05,111.2,111.05,111.2,256774
