,Date,o,h,l,c,v
0,2022-07-25 09:15:00,586.6,586.6,578.5,580.6,3393
1,2022-07-25 09:30:00,580.6,580.6,577.0,577.5,6541
2,2022-07-25 09:45:00,577.5,577.5,575.05,575.05,10302
3,2022-07-25 10:00:00,575.05,577.85,575.05,577.85,13194
4,2022-07-25 10:15:00,576.95,579.55,576.2,576.8,14694
5,2022-07-25 10:30:00,576.9,578.35,576.8,577.4,15949
6,2022-07-25 10:45:00,577.0,578.1,577.0,577.6,16231
7,2022-07-25 11:00:00,578.3,578.3,567.6,569.25,23181
8,2022-07-25 11:15:00,569.25,570.0,568.05,569.8,33886
9,2022-07-25 11:30:00,569.3,570.0,569.3,569.55,37270
10,2022-07-25 11:45:00,569.55,570.3,569.55,570.0,39723
11,2022-07-25 12:00:00,570.0,570.0,569.55,569.6,42449
12,2022-07-25 12:15:00,569.6,569.95,568.5,569.0,44330
13,2022-07-25 12:30:00,569.0,569.0,568.1,568.25,48181
14,2022-07-25 12:45:00,568.25,569.0,568.0,568.15,50181
15,2022-07-25 13:00:00,568.15,568.95,568.0,568.2,51835
16,2022-07-25 13:15:00,568.2,568.9,568.0,568.4,52771
17,2022-07-25 13:30:00,568.4,569.5,568.4,568.5,54316
18,2022-07-25 13:45:00,568.85,568.85,568.0,568.8,55850
19,2022-07-25 14:00:00,568.8,569.0,568.1,568.1,57232
20,2022-07-25 14:15:00,568.1,569.0,568.05,568.05,58807
21,2022-07-25 14:30:00,568.05,568.75,568.0,568.0,60932
22,2022-07-25 14:45:00,568.0,570.0,568.0,569.6,105729
23,2022-07-25 15:00:00,570.0,577.45,569.4,576.35,149150
24,2022-07-25 15:15:00,576.35,579.45,575.25,575.25,167288
25,2022-07-25 15:30:00,575.25,575.25,574.9,574.9,174862
