,Date,o,h,l,c,v
0,2022-07-11 09:15:00,892.7,904.1,886.35,897.5,36282
1,2022-07-11 09:30:00,898.4,911.35,897.5,911.35,71974
2,2022-07-11 09:45:00,911.35,914.6,910.0,910.5,96615
3,2022-07-11 10:00:00,910.5,913.0,910.0,912.7,105726
4,2022-07-11 10:15:00,911.55,915.85,909.0,910.3,130916
5,2022-07-11 10:30:00,910.35,911.9,909.7,910.0,137724
6,2022-07-11 10:45:00,910.0,912.8,910.0,911.15,142213
7,2022-07-11 11:00:00,911.75,911.85,910.0,910.85,147069
8,2022-07-11 11:15:00,910.4,911.75,910.0,910.15,150534
9,2022-07-11 11:30:00,910.15,913.75,910.1,911.1,157692
10,2022-07-11 11:45:00,911.4,913.0,911.0,913.0,160052
11,2022-07-11 12:00:00,913.4,914.85,913.0,913.8,163343
12,2022-07-11 12:15:00,913.8,913.8,910.5,911.0,167525
13,2022-07-11 12:30:00,910.6,912.35,910.5,910.5,171362
14,2022-07-11 12:45:00,910.5,911.85,910.2,911.0,173400
15,2022-07-11 13:00:00,911.8,913.5,910.5,911.2,176449
16,2022-07-11 13:15:00,911.2,914.6,911.1,912.55,179409
17,2022-07-11 13:30:00,912.55,914.15,910.5,913.4,186721
18,2022-07-11 13:45:00,913.4,917.0,912.0,916.1,197146
19,2022-07-11 14:00:00,916.1,917.65,911.5,913.8,209780
20,2022-07-11 14:15:00,912.95,916.0,912.55,913.5,215124
21,2022-07-11 14:30:00,913.5,914.1,912.0,913.25,218913
22,2022-07-11 14:45:00,913.2,914.4,910.7,913.2,226601
23,2022-07-11 15:00:00,913.15,914.5,911.05,913.0,239467
24,2022-07-11 15:15:00,913.0,917.1,912.6,913.55,265303
25,2022-07-11 15:30:00,914.6,914.6,914.6,914.6,265798
26,2022-07-12 09:15:00,906.1,910.0,892.95,907.95,9312
27,2022-07-12 09:30:00,908.8,910.7,907.75,909.95,15495
28,2022-07-12 09:45:00,909.35,914.05,909.35,913.4,21512
29,2022-07-12 10:00:00,913.95,913.95,912.0,912.1,26798
30,2022-07-12 10:15:00,912.1,914.25,912.0,912.5,30135
31,2022-07-12 10:30:00,912.05,913.5,908.85,909.35,32551
32,2022-07-12 10:45:00,909.35,911.8,909.25,910.65,36505
