,Date,o,h,l,c,v
0,2022-07-11 09:15:00,93.7,94.2,93.0,93.6,72073
1,2022-07-11 09:30:00,93.75,93.75,93.4,93.7,92362
2,2022-07-11 09:45:00,93.7,93.7,93.55,93.7,95370
3,2022-07-11 10:00:00,93.7,94.25,93.6,94.15,126988
4,2022-07-11 10:15:00,94.15,94.5,94.0,94.05,144529
5,2022-07-11 10:30:00,94.05,94.35,94.05,94.2,152988
6,2022-07-11 10:45:00,94.2,94.2,93.9,94.05,162613
7,2022-07-11 11:00:00,94.05,94.25,93.85,94.05,166866
8,2022-07-11 11:15:00,94.05,94.2,94.05,94.2,172050
9,2022-07-11 11:30:00,94.2,94.2,94.0,94.0,176024
10,2022-07-11 11:45:00,94.0,94.05,93.7,93.95,181382
11,2022-07-11 12:00:00,93.95,94.9,93.85,94.5,204442
12,2022-07-11 12:15:00,94.5,94.65,94.3,94.4,215074
13,2022-07-11 12:30:00,94.4,94.5,94.3,94.3,216910
14,2022-07-11 12:45:00,94.3,94.5,94.15,94.35,223684
15,2022-07-11 13:00:00,94.35,94.5,94.25,94.5,225087
16,2022-07-11 13:15:00,94.5,94.65,94.35,94.35,230304
17,2022-07-11 13:30:00,94.35,94.5,94.3,94.5,233624
18,2022-07-11 13:45:00,94.5,94.5,94.25,94.5,239354
19,2022-07-11 14:00:00,94.5,94.5,94.3,94.45,241992
20,2022-07-11 14:15:00,94.45,94.55,94.2,94.3,247358
21,2022-07-11 14:30:00,94.3,94.3,94.2,94.3,251717
22,2022-07-11 14:45:00,94.15,94.5,94.15,94.3,255439
23,2022-07-11 15:00:00,94.35,94.5,94.15,94.45,288856
24,2022-07-11 15:15:00,94.85,94.95,94.45,94.7,313312
25,2022-07-11 15:30:00,94.7,94.7,94.55,94.55,315377
26,2022-07-12 09:15:00,94.6,96.3,94.55,96.3,31376
27,2022-07-12 09:30:00,96.4,97.6,96.1,96.85,165620
28,2022-07-12 09:45:00,96.85,97.1,96.5,96.55,243120
29,2022-07-12 10:00:00,96.55,97.3,96.5,96.8,276467
30,2022-07-12 10:15:00,96.8,96.8,96.45,96.45,316595
31,2022-07-12 10:30:00,96.45,96.85,96.35,96.85,328985
32,2022-07-12 10:45:00,96.85,96.95,96.7,96.95,345297
