,Date,o,h,l,c,v
0,2022-07-11 09:15:00,151.3,153.75,151.15,151.4,267983
1,2022-07-11 09:30:00,151.2,151.4,149.9,151.25,506019
2,2022-07-11 09:45:00,151.4,151.8,151.0,151.2,651657
3,2022-07-11 10:00:00,151.25,151.65,150.95,151.5,766910
4,2022-07-11 10:15:00,151.5,151.75,151.2,151.45,796142
5,2022-07-11 10:30:00,151.45,151.7,151.2,151.45,858031
6,2022-07-11 10:45:00,151.45,151.5,150.65,150.7,911563
7,2022-07-11 11:00:00,150.7,150.85,150.1,150.65,995716
8,2022-07-11 11:15:00,150.65,150.65,150.2,150.2,1041381
9,2022-07-11 11:30:00,150.2,151.05,150.15,150.45,1126317
10,2022-07-11 11:45:00,150.45,150.45,148.5,148.95,1325824
11,2022-07-11 12:00:00,149.0,149.75,148.2,149.05,1570084
12,2022-07-11 12:15:00,149.05,149.35,148.8,148.85,1656518
13,2022-07-11 12:30:00,148.85,150.2,148.6,149.4,1774706
14,2022-07-11 12:45:00,149.4,149.75,149.0,149.4,1804572
15,2022-07-11 13:00:00,149.4,149.75,148.85,148.9,1863904
16,2022-07-11 13:15:00,148.9,149.3,148.4,149.25,1927627
17,2022-07-11 13:30:00,149.25,150.8,149.2,150.7,2049898
18,2022-07-11 13:45:00,150.8,153.3,150.65,151.55,2399173
19,2022-07-11 14:00:00,151.7,153.0,151.55,152.5,2531791
20,2022-07-11 14:15:00,152.6,153.15,151.25,152.15,2639774
21,2022-07-11 14:30:00,152.2,154.0,152.2,153.0,2807242
22,2022-07-11 14:45:00,153.0,153.3,151.1,152.1,3044924
23,2022-07-11 15:00:00,152.1,152.95,151.95,152.15,3305738
24,2022-07-11 15:15:00,152.15,152.15,151.6,151.75,3566426
25,2022-07-11 15:30:00,151.75,152.15,151.75,152.15,3567786
26,2022-07-12 09:15:00,151.05,153.3,151.05,153.25,56460
27,2022-07-12 09:30:00,153.1,153.3,152.55,152.75,141158
28,2022-07-12 09:45:00,152.75,152.8,152.35,152.5,178932
29,2022-07-12 10:00:00,152.5,153.4,152.4,152.95,209776
30,2022-07-12 10:15:00,152.95,153.3,152.5,153.0,242444
31,2022-07-12 10:30:00,153.0,153.2,152.9,153.1,271263
32,2022-07-12 10:45:00,153.1,153.5,153.05,153.35,299641
