,Date,o,h,l,c,v
0,2022-07-25 09:15:00,584.95,587.45,584.15,584.4,2948
1,2022-07-25 09:30:00,584.4,584.85,582.0,584.0,5854
2,2022-07-25 09:45:00,584.0,584.4,582.1,583.35,8458
3,2022-07-25 10:00:00,583.35,584.15,582.0,583.0,9759
4,2022-07-25 10:15:00,583.0,583.0,580.9,581.05,11152
5,2022-07-25 10:30:00,581.05,581.25,579.75,580.05,13140
6,2022-07-25 10:45:00,580.05,580.8,579.65,580.5,14000
7,2022-07-25 11:00:00,580.5,580.55,579.55,579.75,14539
8,2022-07-25 11:15:00,579.75,580.8,579.0,579.5,15685
9,2022-07-25 11:30:00,579.5,580.0,579.0,579.9,17531
10,2022-07-25 11:45:00,580.0,580.0,579.55,579.85,17987
11,2022-07-25 12:00:00,579.85,579.95,579.05,579.2,18239
12,2022-07-25 12:15:00,579.75,579.8,579.0,579.55,18421
13,2022-07-25 12:30:00,579.55,579.7,579.2,579.7,18645
14,2022-07-25 12:45:00,579.65,579.8,579.0,579.8,19184
15,2022-07-25 13:00:00,579.8,579.8,579.0,579.0,19495
16,2022-07-25 13:15:00,579.0,580.0,579.0,580.0,19846
17,2022-07-25 13:30:00,580.0,580.0,579.1,579.85,20210
18,2022-07-25 13:45:00,579.9,579.95,579.0,579.9,20601
19,2022-07-25 14:00:00,579.9,579.95,579.5,579.95,21017
20,2022-07-25 14:15:00,579.95,581.75,579.0,580.85,22273
21,2022-07-25 14:30:00,580.85,581.8,580.65,581.55,24478
22,2022-07-25 14:45:00,581.55,581.8,581.1,581.75,24889
23,2022-07-25 15:00:00,581.75,581.8,580.1,581.4,25869
24,2022-07-25 15:15:00,581.4,581.7,579.1,579.35,30822
25,2022-07-25 15:30:00,580.15,580.15,580.15,580.15,34237
