,Date,o,h,l,c,v
0,2022-07-11 09:15:00,112.0,113.8,111.55,113.55,109782
1,2022-07-11 09:30:00,113.55,113.9,112.6,113.3,248713
2,2022-07-11 09:45:00,113.3,113.5,112.85,113.15,271372
3,2022-07-11 10:00:00,113.2,113.25,112.85,113.15,298676
4,2022-07-11 10:15:00,113.15,113.25,112.95,113.2,318714
5,2022-07-11 10:30:00,113.2,113.45,112.95,113.05,337869
6,2022-07-11 10:45:00,113.05,113.35,112.6,112.6,375204
7,2022-07-11 11:00:00,112.75,113.0,112.7,112.9,387907
8,2022-07-11 11:15:00,112.95,112.95,112.7,112.85,401974
9,2022-07-11 11:30:00,112.85,113.9,112.85,113.5,434836
10,2022-07-11 11:45:00,113.5,114.3,113.2,114.3,476518
11,2022-07-11 12:00:00,114.2,114.65,113.4,114.0,518233
12,2022-07-11 12:15:00,114.0,114.1,113.7,113.85,537632
13,2022-07-11 12:30:00,113.85,114.35,113.85,114.2,565743
14,2022-07-11 12:45:00,114.2,114.35,113.95,114.2,592311
15,2022-07-11 13:00:00,114.3,114.4,113.9,114.3,631856
16,2022-07-11 13:15:00,114.1,114.4,113.8,113.95,653276
17,2022-07-11 13:30:00,113.95,114.45,113.95,114.45,665578
18,2022-07-11 13:45:00,114.45,114.6,114.1,114.45,688324
19,2022-07-11 14:00:00,114.45,114.5,114.2,114.5,700587
20,2022-07-11 14:15:00,114.5,115.35,114.3,114.35,805042
21,2022-07-11 14:30:00,114.4,114.45,113.75,114.0,841553
22,2022-07-11 14:45:00,114.0,115.0,114.0,114.6,867709
23,2022-07-11 15:00:00,114.7,114.95,114.6,114.6,888641
24,2022-07-11 15:15:00,114.6,114.6,112.9,113.4,975081
25,2022-07-11 15:30:00,113.4,113.9,113.4,113.9,975169
26,2022-07-12 09:15:00,113.7,113.75,112.6,113.4,11833
27,2022-07-12 09:30:00,113.3,114.0,113.3,113.8,25647
28,2022-07-12 09:45:00,113.8,114.2,113.75,114.1,38749
29,2022-07-12 10:00:00,114.1,114.45,113.75,113.85,89251
30,2022-07-12 10:15:00,113.85,113.9,112.85,112.9,140488
31,2022-07-12 10:30:00,112.9,113.2,112.4,112.85,203351
32,2022-07-12 10:45:00,112.85,113.05,112.85,112.95,220024
