,Date,o,h,l,c,v
0,2022-07-25 09:15:00,86.8,86.9,86.2,86.2,97256
1,2022-07-25 09:30:00,86.1,86.2,85.45,85.75,364246
2,2022-07-25 09:45:00,85.75,85.9,85.15,85.35,514008
3,2022-07-25 10:00:00,85.35,85.9,85.25,85.9,671091
4,2022-07-25 10:15:00,85.9,86.3,85.7,85.8,802715
5,2022-07-25 10:30:00,85.8,86.1,85.6,85.9,873516
6,2022-07-25 10:45:00,85.9,86.05,85.75,85.75,898069
7,2022-07-25 11:00:00,85.75,85.8,85.2,85.4,939489
8,2022-07-25 11:15:00,85.35,85.7,85.3,85.55,998854
9,2022-07-25 11:30:00,85.55,85.65,85.45,85.5,1020369
10,2022-07-25 11:45:00,85.5,85.8,85.5,85.75,1033169
11,2022-07-25 12:00:00,85.65,85.8,85.55,85.6,1058744
12,2022-07-25 12:15:00,85.6,85.75,85.55,85.6,1073541
13,2022-07-25 12:30:00,85.6,85.7,85.35,85.5,1101963
14,2022-07-25 12:45:00,85.5,85.6,85.3,85.4,1138372
15,2022-07-25 13:00:00,85.45,85.75,85.25,85.7,1169280
16,2022-07-25 13:15:00,85.7,85.75,85.4,85.4,1200888
17,2022-07-25 13:30:00,85.4,85.6,85.3,85.45,1211140
18,2022-07-25 13:45:00,85.45,85.5,85.3,85.35,1231613
19,2022-07-25 14:00:00,85.35,85.7,85.35,85.65,1249657
20,2022-07-25 14:15:00,85.65,85.95,85.6,85.8,1276647
21,2022-07-25 14:30:00,85.8,85.9,85.65,85.85,1314164
22,2022-07-25 14:45:00,85.9,86.1,85.75,86.05,1351494
23,2022-07-25 15:00:00,86.05,86.2,85.9,86.15,1427356
24,2022-07-25 15:15:00,86.15,86.2,85.0,85.45,1630145
25,2022-07-25 15:30:00,85.45,85.75,85.45,85.75,1696395
