,Date,o,h,l,c,v
0,2022-07-11 09:15:00,130.6,131.5,130.25,131.1,383858
1,2022-07-11 09:30:00,131.1,131.1,130.7,130.9,592900
2,2022-07-11 09:45:00,130.9,131.25,130.85,131.05,723427
3,2022-07-11 10:00:00,131.15,131.35,131.0,131.0,842610
4,2022-07-11 10:15:00,131.1,131.1,130.75,130.85,974298
5,2022-07-11 10:30:00,130.85,130.85,130.35,130.45,1169114
6,2022-07-11 10:45:00,130.45,130.5,130.05,130.05,1355583
7,2022-07-11 11:00:00,130.05,130.25,129.8,130.05,1623436
8,2022-07-11 11:15:00,130.05,130.15,129.75,129.9,1719519
9,2022-07-11 11:30:00,129.9,130.45,129.85,130.15,1880243
10,2022-07-11 11:45:00,130.15,130.2,129.8,130.1,1979418
11,2022-07-11 12:00:00,130.0,130.3,130.0,130.05,2057827
12,2022-07-11 12:15:00,130.05,130.3,129.95,130.1,2197336
13,2022-07-11 12:30:00,130.1,130.1,129.85,130.1,2287458
14,2022-07-11 12:45:00,130.05,130.4,130.05,130.25,2388809
15,2022-07-11 13:00:00,130.25,130.4,130.1,130.1,2508947
16,2022-07-11 13:15:00,130.1,130.25,129.85,130.0,2628784
17,2022-07-11 13:30:00,130.0,130.25,129.95,130.2,2751598
18,2022-07-11 13:45:00,130.1,130.2,129.95,130.0,2860673
19,2022-07-11 14:00:00,130.0,130.25,129.95,130.1,3006400
20,2022-07-11 14:15:00,130.1,130.45,130.05,130.45,3218106
21,2022-07-11 14:30:00,130.35,130.6,130.25,130.3,3366716
22,2022-07-11 14:45:00,130.25,130.55,130.2,130.45,3509847
23,2022-07-11 15:00:00,130.45,130.8,130.2,130.45,4206159
24,2022-07-11 15:15:00,130.45,130.7,130.35,130.6,5199695
25,2022-07-11 15:30:00,130.55,130.55,130.5,130.5,5204118
26,2022-07-12 09:15:00,125.4,125.5,124.65,124.85,613196
27,2022-07-12 09:30:00,124.8,125.2,124.6,125.05,1221480
28,2022-07-12 09:45:00,125.05,125.25,125.0,125.2,1349734
29,2022-07-12 10:00:00,125.2,125.8,125.15,125.6,1503230
30,2022-07-12 10:15:00,125.65,125.85,125.55,125.8,1647086
31,2022-07-12 10:30:00,125.8,125.8,125.3,125.6,1771338
32,2022-07-12 10:45:00,125.55,125.7,125.5,125.7,1858105
