,Date,o,h,l,c,v
0,2022-07-11 09:15:00,132.85,134.7,132.4,133.15,303319
1,2022-07-11 09:30:00,133.15,134.05,132.75,133.05,443489
2,2022-07-11 09:45:00,133.05,133.3,132.3,132.45,543945
3,2022-07-11 10:00:00,132.5,133.05,132.2,132.85,615760
4,2022-07-11 10:15:00,132.85,133.0,132.55,132.8,651367
5,2022-07-11 10:30:00,132.75,133.5,132.6,132.9,710361
6,2022-07-11 10:45:00,132.9,133.05,132.55,132.65,739504
7,2022-07-11 11:00:00,132.8,132.9,132.5,132.7,766150
8,2022-07-11 11:15:00,132.7,132.85,132.25,132.55,830820
9,2022-07-11 11:30:00,132.55,132.85,132.45,132.7,886792
10,2022-07-11 11:45:00,132.7,132.75,132.55,132.55,903243
11,2022-07-11 12:00:00,132.55,132.85,132.55,132.6,923530
12,2022-07-11 12:15:00,132.6,133.1,132.6,132.85,972245
13,2022-07-11 12:30:00,132.95,132.95,132.5,132.6,1031758
14,2022-07-11 12:45:00,132.6,132.75,132.55,132.55,1044638
15,2022-07-11 13:00:00,132.55,133.2,132.55,132.85,1090497
16,2022-07-11 13:15:00,132.85,132.95,132.65,132.85,1112031
17,2022-07-11 13:30:00,132.85,132.95,132.6,132.85,1133415
18,2022-07-11 13:45:00,132.85,133.6,132.85,133.35,1213359
19,2022-07-11 14:00:00,133.35,133.4,133.1,133.1,1243770
20,2022-07-11 14:15:00,133.1,133.15,132.9,133.05,1284090
21,2022-07-11 14:30:00,133.05,133.25,132.85,132.95,1341480
22,2022-07-11 14:45:00,132.95,133.25,132.7,133.1,1425012
23,2022-07-11 15:00:00,133.05,133.25,132.8,132.9,1517386
24,2022-07-11 15:15:00,132.9,134.0,132.9,133.5,1704755
25,2022-07-11 15:30:00,133.5,133.5,133.15,133.15,1707989
26,2022-07-12 09:15:00,133.8,133.8,132.45,132.9,111868
27,2022-07-12 09:30:00,132.9,133.0,132.65,132.75,203825
28,2022-07-12 09:45:00,132.75,133.0,132.5,132.75,263285
29,2022-07-12 10:00:00,132.8,132.85,132.25,132.5,459504
30,2022-07-12 10:15:00,132.5,132.55,132.3,132.45,624996
31,2022-07-12 10:30:00,132.45,132.8,131.8,131.8,701951
32,2022-07-12 10:45:00,131.8,132.0,131.6,131.95,809526
