,Date,o,h,l,c,v
0,2022-07-25 09:15:00,1018.6,1030.65,1018.45,1018.45,17709
1,2022-07-25 09:30:00,1016.25,1022.9,1011.0,1020.3,36192
2,2022-07-25 09:45:00,1019.55,1022.3,1016.0,1020.0,42271
3,2022-07-25 10:00:00,1020.0,1021.0,1018.0,1019.45,45528
4,2022-07-25 10:15:00,1019.45,1023.05,1018.4,1021.15,49418
5,2022-07-25 10:30:00,1021.15,1026.0,1020.5,1023.0,53485
6,2022-07-25 10:45:00,1023.0,1023.1,1018.5,1019.4,57614
7,2022-07-25 11:00:00,1019.4,1019.75,1016.65,1019.5,60245
8,2022-07-25 11:15:00,1019.15,1021.5,1018.4,1019.9,62537
9,2022-07-25 11:30:00,1019.9,1022.35,1018.65,1021.8,65193
10,2022-07-25 11:45:00,1021.1,1022.5,1021.0,1021.15,68661
11,2022-07-25 12:00:00,1021.5,1021.5,1020.0,1020.85,70692
12,2022-07-25 12:15:00,1020.85,1021.0,1018.15,1019.25,72836
13,2022-07-25 12:30:00,1019.25,1020.0,1016.65,1019.15,75809
14,2022-07-25 12:45:00,1018.3,1019.95,1017.0,1018.0,77456
15,2022-07-25 13:00:00,1018.7,1020.0,1016.0,1016.35,79772
16,2022-07-25 13:15:00,1016.35,1018.0,1013.25,1013.4,82870
17,2022-07-25 13:30:00,1013.95,1015.6,1012.0,1015.45,84785
18,2022-07-25 13:45:00,1015.45,1015.45,1008.8,1011.75,89125
19,2022-07-25 14:00:00,1011.85,1012.1,1009.05,1009.55,94328
20,2022-07-25 14:15:00,1009.55,1011.55,1007.1,1009.7,99124
21,2022-07-25 14:30:00,1009.7,1009.7,1006.0,1007.0,105744
22,2022-07-25 14:45:00,1007.0,1008.25,1006.0,1007.2,110151
23,2022-07-25 15:00:00,1007.2,1007.9,1005.25,1007.0,116816
24,2022-07-25 15:15:00,1007.0,1008.1,1002.2,1008.1,127948
25,2022-07-25 15:30:00,1009.0,1009.0,1005.65,1005.65,132765
