,Date,o,h,l,c,v
0,2022-07-11 09:15:00,47.0,47.7,47.0,47.25,1271003
1,2022-07-11 09:30:00,47.2,47.9,47.15,47.75,2257173
2,2022-07-11 09:45:00,47.8,47.85,47.45,47.45,2825123
3,2022-07-11 10:00:00,47.5,47.95,47.45,47.8,3345548
4,2022-07-11 10:15:00,47.85,48.3,47.75,48.25,4492823
5,2022-07-11 10:30:00,48.25,48.45,48.05,48.35,5987280
6,2022-07-11 10:45:00,48.45,48.7,48.35,48.55,7205097
7,2022-07-11 11:00:00,48.55,48.8,48.5,48.65,7803495
8,2022-07-11 11:15:00,48.65,48.7,48.35,48.4,8278113
9,2022-07-11 11:30:00,48.4,48.55,48.2,48.2,9024552
10,2022-07-11 11:45:00,48.2,48.5,48.2,48.5,9317092
11,2022-07-11 12:00:00,48.5,48.55,48.35,48.35,9466727
12,2022-07-11 12:15:00,48.35,48.5,48.2,48.3,9763566
13,2022-07-11 12:30:00,48.3,48.4,48.2,48.3,9908472
14,2022-07-11 12:45:00,48.3,48.4,48.25,48.3,10015054
15,2022-07-11 13:00:00,48.3,48.45,48.25,48.4,10220146
16,2022-07-11 13:15:00,48.4,48.6,48.3,48.35,10586183
17,2022-07-11 13:30:00,48.35,48.5,48.3,48.5,10697937
18,2022-07-11 13:45:00,48.4,48.55,48.35,48.4,10934602
19,2022-07-11 14:00:00,48.4,48.9,48.4,48.6,12051615
20,2022-07-11 14:15:00,48.6,48.75,48.55,48.7,12264289
21,2022-07-11 14:30:00,48.7,48.7,48.45,48.65,12650981
22,2022-07-11 14:45:00,48.6,49.25,48.55,48.85,14213579
23,2022-07-11 15:00:00,48.85,49.15,48.75,48.85,15545047
24,2022-07-11 15:15:00,48.8,49.35,48.8,49.05,17755697
25,2022-07-11 15:30:00,49.05,49.05,49.0,49.0,17846953
26,2022-07-12 09:15:00,48.75,49.5,48.65,49.3,1156406
27,2022-07-12 09:30:00,49.3,50.65,49.2,50.55,3667623
28,2022-07-12 09:45:00,50.5,51.45,50.4,51.0,7825654
29,2022-07-12 10:00:00,50.95,51.35,50.75,50.9,10380833
30,2022-07-12 10:15:00,50.95,51.0,50.65,50.8,11645359
31,2022-07-12 10:30:00,50.85,50.85,50.45,50.65,12297535
32,2022-07-12 10:45:00,50.7,50.75,50.6,50.75,12813617
