,Date,o,h,l,c,v
0,2022-07-11 09:15:00,239.25,239.5,238.5,238.5,2763
1,2022-07-11 09:30:00,238.8,239.25,238.05,239.25,4047
2,2022-07-11 09:45:00,239.15,239.5,238.4,238.55,5395
3,2022-07-11 10:00:00,238.55,238.85,237.75,238.5,8325
4,2022-07-11 10:15:00,238.5,239.15,238.1,239.15,10271
5,2022-07-11 10:30:00,239.45,240.0,239.0,239.6,13762
6,2022-07-11 10:45:00,239.6,239.6,239.15,239.15,14213
7,2022-07-11 11:00:00,239.45,239.5,239.1,239.5,15076
8,2022-07-11 11:15:00,239.25,240.0,239.15,239.85,18254
9,2022-07-11 11:30:00,239.85,239.85,239.4,239.7,18411
10,2022-07-11 11:45:00,239.8,239.95,239.35,239.4,19916
11,2022-07-11 12:00:00,239.4,239.45,239.25,239.35,20274
12,2022-07-11 12:15:00,239.35,239.45,238.45,238.8,30305
13,2022-07-11 12:30:00,238.95,239.3,238.3,239.3,36196
14,2022-07-11 12:45:00,239.3,239.3,238.85,238.85,37145
15,2022-07-11 13:00:00,238.85,239.15,238.8,239.0,37957
16,2022-07-11 13:15:00,239.0,239.0,238.85,239.0,38262
17,2022-07-11 13:30:00,239.0,239.0,237.55,238.0,44626
18,2022-07-11 13:45:00,238.0,238.0,237.95,238.0,50307
19,2022-07-11 14:00:00,238.0,239.0,237.45,239.0,55370
20,2022-07-11 14:15:00,239.0,239.05,238.9,239.0,56955
21,2022-07-11 14:30:00,239.0,239.05,239.0,239.05,58627
22,2022-07-11 14:45:00,239.05,239.45,239.0,239.2,61401
23,2022-07-11 15:00:00,239.25,239.25,238.9,238.9,64449
24,2022-07-11 15:15:00,239.0,239.3,239.0,239.3,70047
25,2022-07-11 15:30:00,239.1,239.1,239.1,239.1,70047
26,2022-07-12 09:15:00,238.5,238.5,235.9,235.9,7154
27,2022-07-12 09:30:00,235.9,236.0,235.6,236.0,23772
28,2022-07-12 09:45:00,236.0,236.0,235.75,236.0,31372
29,2022-07-12 10:00:00,236.0,236.0,236.0,236.0,33564
30,2022-07-12 10:15:00,236.0,236.0,235.6,236.0,37356
31,2022-07-12 10:30:00,236.0,236.0,235.95,236.0,40414
32,2022-07-12 10:45:00,236.0,236.0,235.95,236.0,45183
