,Date,o,h,l,c,v
0,2022-07-25 09:15:00,31.1,31.1,30.85,31.0,44811
1,2022-07-25 09:30:00,30.95,31.0,30.75,30.95,111536
2,2022-07-25 09:45:00,30.95,30.95,30.8,30.85,150783
3,2022-07-25 10:00:00,30.85,30.9,30.75,30.85,178597
4,2022-07-25 10:15:00,30.85,30.85,30.8,30.85,193992
5,2022-07-25 10:30:00,30.85,30.85,30.8,30.85,205585
6,2022-07-25 10:45:00,30.85,30.85,30.8,30.85,230649
7,2022-07-25 11:00:00,30.85,30.85,30.8,30.8,253691
8,2022-07-25 11:15:00,30.85,30.85,30.75,30.85,274083
9,2022-07-25 11:30:00,30.85,30.85,30.75,30.8,290521
10,2022-07-25 11:45:00,30.85,30.85,30.75,30.8,307995
11,2022-07-25 12:00:00,30.8,30.85,30.8,30.8,314352
12,2022-07-25 12:15:00,30.8,30.85,30.8,30.8,326386
13,2022-07-25 12:30:00,30.8,30.9,30.8,30.9,347484
14,2022-07-25 12:45:00,30.9,30.9,30.85,30.9,362114
15,2022-07-25 13:00:00,30.9,30.9,30.8,30.8,371826
16,2022-07-25 13:15:00,30.8,30.9,30.8,30.8,382968
17,2022-07-25 13:30:00,30.85,30.85,30.8,30.8,394953
18,2022-07-25 13:45:00,30.8,30.85,30.75,30.8,408526
19,2022-07-25 14:00:00,30.8,30.85,30.75,30.85,432295
20,2022-07-25 14:15:00,30.8,30.85,30.75,30.85,449253
21,2022-07-25 14:30:00,30.85,30.9,30.8,30.9,466283
22,2022-07-25 14:45:00,30.9,30.9,30.8,30.9,491030
23,2022-07-25 15:00:00,30.9,30.9,30.8,30.9,516664
24,2022-07-25 15:15:00,30.85,30.9,30.8,30.85,568480
25,2022-07-25 15:30:00,30.85,30.85,30.85,30.85,606915
