,Date,o,h,l,c,v
0,2022-07-25 09:15:00,75.1,75.85,75.1,75.3,1489814
1,2022-07-25 09:30:00,75.35,75.7,75.1,75.55,3040011
2,2022-07-25 09:45:00,75.5,75.6,75.2,75.25,3967018
3,2022-07-25 10:00:00,75.25,75.3,74.95,75.2,4973089
4,2022-07-25 10:15:00,75.15,75.35,75.15,75.3,5864459
5,2022-07-25 10:30:00,75.3,75.5,75.25,75.45,6216335
6,2022-07-25 10:45:00,75.45,75.5,75.3,75.4,6531014
7,2022-07-25 11:00:00,75.4,75.45,75.1,75.2,6911274
8,2022-07-25 11:15:00,75.2,75.6,75.15,75.5,7641195
9,2022-07-25 11:30:00,75.5,75.75,75.45,75.65,8645362
10,2022-07-25 11:45:00,75.65,75.85,75.6,75.8,9269135
11,2022-07-25 12:00:00,75.85,75.9,75.6,75.75,10131055
12,2022-07-25 12:15:00,75.75,75.8,75.6,75.65,10539782
13,2022-07-25 12:30:00,75.7,75.85,75.55,75.85,10896267
14,2022-07-25 12:45:00,75.85,75.85,75.6,75.65,11314972
15,2022-07-25 13:00:00,75.65,75.7,75.45,75.65,11853574
16,2022-07-25 13:15:00,75.65,75.7,75.4,75.6,12515994
17,2022-07-25 13:30:00,75.55,75.75,75.5,75.6,13037713
18,2022-07-25 13:45:00,75.7,75.9,75.6,75.75,13543761
19,2022-07-25 14:00:00,75.7,76.05,75.7,76.0,14351481
20,2022-07-25 14:15:00,76.0,76.05,75.85,75.85,15443381
21,2022-07-25 14:30:00,75.9,76.05,75.85,76.0,16142927
22,2022-07-25 14:45:00,76.0,76.1,75.75,76.05,16896591
23,2022-07-25 15:00:00,76.0,76.1,75.9,76.0,17812946
24,2022-07-25 15:15:00,75.9,76.1,75.8,75.8,19223102
25,2022-07-25 15:30:00,75.7,76.0,75.7,76.0,19892086
