,Date,o,h,l,c,v
0,2022-07-11 09:15:00,402.0,405.5,398.55,398.55,6497
1,2022-07-11 09:30:00,398.55,399.5,396.35,399.5,10451
2,2022-07-11 09:45:00,399.5,401.35,397.05,400.2,16078
3,2022-07-11 10:00:00,400.3,402.45,400.2,401.75,17937
4,2022-07-11 10:15:00,402.25,402.3,400.55,402.3,19605
5,2022-07-11 10:30:00,402.45,403.9,402.15,402.9,20328
6,2022-07-11 10:45:00,402.9,403.8,401.15,403.1,22374
7,2022-07-11 11:00:00,403.1,404.95,400.35,400.35,24875
8,2022-07-11 11:15:00,400.35,401.75,400.0,400.6,28138
9,2022-07-11 11:30:00,400.6,401.7,400.55,401.05,28451
10,2022-07-11 11:45:00,401.05,402.0,400.25,402.0,29892
11,2022-07-11 12:00:00,402.0,403.6,401.55,402.0,30714
12,2022-07-11 12:15:00,402.0,402.85,401.05,401.7,34535
13,2022-07-11 12:30:00,401.7,401.95,400.1,400.15,39096
14,2022-07-11 12:45:00,400.15,401.45,400.15,400.15,41863
15,2022-07-11 13:00:00,400.15,400.85,399.95,400.1,44084
16,2022-07-11 13:15:00,400.1,400.9,400.0,400.7,45550
17,2022-07-11 13:30:00,400.7,401.2,400.05,400.45,47040
18,2022-07-11 13:45:00,400.45,400.6,399.95,400.5,47837
19,2022-07-11 14:00:00,400.5,401.85,400.5,401.6,50138
20,2022-07-11 14:15:00,401.6,402.7,401.15,401.8,53218
21,2022-07-11 14:30:00,401.5,402.7,401.5,402.05,54150
22,2022-07-11 14:45:00,402.1,402.55,402.0,402.0,55483
23,2022-07-11 15:00:00,402.0,402.9,402.0,402.55,57163
24,2022-07-11 15:15:00,402.55,402.7,399.95,400.0,62948
25,2022-07-11 15:30:00,400.85,400.85,400.85,400.85,62948
26,2022-07-12 09:15:00,402.0,402.0,394.3,398.2,2163
27,2022-07-12 09:30:00,398.2,399.25,397.35,398.0,4035
28,2022-07-12 09:45:00,397.55,398.0,394.5,397.15,5863
29,2022-07-12 10:00:00,397.15,397.7,396.3,397.6,7043
30,2022-07-12 10:15:00,397.6,397.6,396.1,397.45,7432
31,2022-07-12 10:30:00,397.45,397.9,396.5,397.2,11794
32,2022-07-12 10:45:00,397.2,397.2,395.05,395.6,21081
