,Date,o,h,l,c,v
0,2022-07-11 09:15:00,1144.05,1153.45,1141.35,1148.0,31981
1,2022-07-11 09:30:00,1148.45,1153.0,1147.1,1153.0,43642
2,2022-07-11 09:45:00,1151.9,1152.95,1147.7,1149.45,54201
3,2022-07-11 10:00:00,1150.25,1154.9,1148.8,1150.2,85637
4,2022-07-11 10:15:00,1150.2,1151.55,1147.6,1150.45,95679
5,2022-07-11 10:30:00,1150.45,1153.45,1149.5,1151.35,165890
6,2022-07-11 10:45:00,1151.8,1153.95,1150.85,1151.0,175472
7,2022-07-11 11:00:00,1151.0,1151.9,1149.55,1150.0,190137
8,2022-07-11 11:15:00,1150.0,1150.0,1148.25,1149.45,202237
9,2022-07-11 11:30:00,1149.45,1150.0,1145.1,1146.95,219437
10,2022-07-11 11:45:00,1146.95,1147.5,1146.3,1147.25,229732
11,2022-07-11 12:00:00,1147.25,1148.0,1147.1,1148.0,261133
12,2022-07-11 12:15:00,1148.0,1150.2,1147.0,1150.0,286286
13,2022-07-11 12:30:00,1150.0,1151.0,1149.2,1149.5,306934
14,2022-07-11 12:45:00,1149.55,1149.95,1148.05,1149.5,319112
15,2022-07-11 13:00:00,1149.5,1150.0,1149.05,1150.0,327551
16,2022-07-11 13:15:00,1150.0,1150.0,1147.0,1147.45,334390
17,2022-07-11 13:30:00,1147.45,1148.45,1146.1,1148.0,341803
18,2022-07-11 13:45:00,1148.0,1149.15,1147.1,1148.3,357319
19,2022-07-11 14:00:00,1148.3,1150.2,1147.45,1147.8,366207
20,2022-07-11 14:15:00,1147.8,1151.0,1147.8,1150.0,404897
21,2022-07-11 14:30:00,1150.0,1150.05,1149.1,1150.0,419013
22,2022-07-11 14:45:00,1150.0,1151.0,1148.5,1148.5,462482
23,2022-07-11 15:00:00,1148.05,1150.0,1146.8,1146.8,497267
24,2022-07-11 15:15:00,1147.1,1147.9,1143.0,1144.65,543155
25,2022-07-11 15:30:00,1144.65,1147.4,1144.65,1147.4,543155
26,2022-07-12 09:15:00,1141.1,1142.45,1135.8,1137.0,21284
27,2022-07-12 09:30:00,1137.0,1141.2,1135.7,1136.55,50398
28,2022-07-12 09:45:00,1136.55,1138.95,1136.05,1136.8,62876
29,2022-07-12 10:00:00,1136.8,1140.0,1136.5,1137.4,69535
30,2022-07-12 10:15:00,1137.95,1139.4,1136.15,1139.35,74214
31,2022-07-12 10:30:00,1139.35,1139.4,1136.0,1137.0,80128
32,2022-07-12 10:45:00,1136.25,1137.5,1135.3,1137.5,87137
