,Date,o,h,l,c,v
0,2022-07-11 09:15:00,485.8,490.0,485.25,488.45,606175
1,2022-07-11 09:30:00,488.35,489.7,487.55,489.45,959002
2,2022-07-11 09:45:00,489.5,490.75,489.1,489.8,1377892
3,2022-07-11 10:00:00,490.0,490.6,489.6,489.7,1575131
4,2022-07-11 10:15:00,489.85,491.3,489.55,491.0,1830872
5,2022-07-11 10:30:00,491.1,491.2,489.25,489.8,2050175
6,2022-07-11 10:45:00,489.65,489.85,489.2,489.25,2154338
7,2022-07-11 11:00:00,489.25,489.35,488.45,489.15,2393962
8,2022-07-11 11:15:00,489.1,489.15,487.8,487.85,2642069
9,2022-07-11 11:30:00,487.8,488.25,486.85,487.1,2911163
10,2022-07-11 11:45:00,487.2,487.55,486.5,487.35,3105589
11,2022-07-11 12:00:00,487.35,488.4,487.3,487.95,3238785
12,2022-07-11 12:15:00,487.95,488.0,487.55,487.9,3290377
13,2022-07-11 12:30:00,487.9,488.5,487.4,488.3,3446713
14,2022-07-11 12:45:00,488.3,489.4,488.1,489.15,3671826
15,2022-07-11 13:00:00,489.15,489.5,488.7,489.0,4035515
16,2022-07-11 13:15:00,488.85,489.35,487.4,487.4,4236793
17,2022-07-11 13:30:00,487.4,487.9,486.75,487.7,4465321
18,2022-07-11 13:45:00,487.7,488.3,487.35,487.75,4612691
19,2022-07-11 14:00:00,487.75,489.5,487.7,489.2,4996868
20,2022-07-11 14:15:00,489.2,489.9,488.65,489.75,5548388
21,2022-07-11 14:30:00,489.75,490.2,489.0,489.45,6003134
22,2022-07-11 14:45:00,489.6,489.95,488.6,489.3,6301124
23,2022-07-11 15:00:00,489.2,489.5,488.0,488.0,6884223
24,2022-07-11 15:15:00,488.0,488.6,487.55,488.05,7701000
25,2022-07-11 15:30:00,488.2,488.2,488.2,488.2,7703638
26,2022-07-12 09:15:00,485.55,489.5,485.35,488.9,545634
27,2022-07-12 09:30:00,488.8,489.3,487.85,488.7,1058875
28,2022-07-12 09:45:00,488.7,489.0,488.05,488.4,1381895
29,2022-07-12 10:00:00,488.4,489.2,488.3,488.7,1566163
30,2022-07-12 10:15:00,488.6,490.7,488.45,490.15,1757657
31,2022-07-12 10:30:00,490.25,490.45,489.65,490.15,2148171
32,2022-07-12 10:45:00,490.15,490.2,489.7,489.95,2326097
