,Date,o,h,l,c,v
0,2022-07-11 09:15:00,2379.0,2407.35,2379.0,2395.3,6913
1,2022-07-11 09:30:00,2395.3,2445.0,2395.3,2436.25,16789
2,2022-07-11 09:45:00,2436.25,2480.0,2430.0,2447.0,32588
3,2022-07-11 10:00:00,2453.3,2465.0,2445.0,2465.0,43277
4,2022-07-11 10:15:00,2465.0,2465.35,2461.35,2463.75,49697
5,2022-07-11 10:30:00,2463.75,2464.0,2445.15,2450.8,52694
6,2022-07-11 10:45:00,2449.0,2460.3,2449.0,2457.55,55139
7,2022-07-11 11:00:00,2457.55,2459.8,2451.5,2454.9,56217
8,2022-07-11 11:15:00,2454.9,2454.9,2450.65,2452.7,57348
9,2022-07-11 11:30:00,2452.7,2453.9,2446.0,2446.2,58903
10,2022-07-11 11:45:00,2446.2,2449.95,2427.05,2428.5,64487
11,2022-07-11 12:00:00,2428.0,2428.7,2415.0,2417.15,68231
12,2022-07-11 12:15:00,2420.15,2421.7,2410.25,2420.05,70513
13,2022-07-11 12:30:00,2420.05,2423.45,2411.05,2412.1,72932
14,2022-07-11 12:45:00,2414.0,2421.1,2410.25,2415.0,75867
15,2022-07-11 13:00:00,2416.05,2416.9,2397.75,2413.95,80336
16,2022-07-11 13:15:00,2413.95,2418.0,2398.0,2400.05,85612
17,2022-07-11 13:30:00,2400.05,2405.55,2396.85,2401.75,87060
18,2022-07-11 13:45:00,2401.75,2405.6,2401.2,2405.15,88143
19,2022-07-11 14:00:00,2405.15,2405.85,2401.75,2404.15,89519
20,2022-07-11 14:15:00,2404.15,2404.15,2385.0,2394.35,93309
21,2022-07-11 14:30:00,2394.35,2394.75,2380.0,2380.85,95835
22,2022-07-11 14:45:00,2382.55,2386.9,2375.0,2377.0,99303
23,2022-07-11 15:00:00,2377.0,2383.1,2370.0,2377.2,104058
24,2022-07-11 15:15:00,2378.5,2404.9,2370.0,2378.6,109505
25,2022-07-11 15:30:00,2377.5,2377.5,2377.5,2377.5,109505
26,2022-07-12 09:15:00,2388.0,2395.15,2332.9,2342.65,6683
27,2022-07-12 09:30:00,2345.9,2348.0,2311.0,2322.85,13813
28,2022-07-12 09:45:00,2322.85,2342.6,2317.3,2340.0,22627
29,2022-07-12 10:00:00,2338.05,2353.0,2311.1,2335.0,29151
30,2022-07-12 10:15:00,2334.95,2340.0,2326.1,2337.05,35936
31,2022-07-12 10:30:00,2336.65,2344.0,2330.9,2341.65,41261
32,2022-07-12 10:45:00,2343.6,2344.0,2328.15,2335.45,44744
