,Date,o,h,l,c,v
0,2022-07-25 09:15:00,103.5,103.75,102.85,102.95,52487
1,2022-07-25 09:30:00,102.6,103.05,102.2,102.95,112001
2,2022-07-25 09:45:00,102.95,102.95,102.3,102.5,145933
3,2022-07-25 10:00:00,102.5,102.5,102.15,102.45,170915
4,2022-07-25 10:15:00,102.45,102.45,102.05,102.05,181509
5,2022-07-25 10:30:00,102.05,102.4,101.8,102.4,202613
6,2022-07-25 10:45:00,102.2,102.25,102.0,102.0,211738
7,2022-07-25 11:00:00,102.0,102.2,101.9,101.95,233036
8,2022-07-25 11:15:00,101.95,102.15,101.9,101.95,257798
9,2022-07-25 11:30:00,101.95,102.15,101.6,101.7,274106
10,2022-07-25 11:45:00,101.7,101.95,101.5,101.5,313720
11,2022-07-25 12:00:00,101.5,101.6,101.45,101.6,325056
12,2022-07-25 12:15:00,101.5,101.75,101.5,101.65,330683
13,2022-07-25 12:30:00,101.6,101.75,101.4,101.6,334847
14,2022-07-25 12:45:00,101.55,101.65,101.55,101.55,337825
15,2022-07-25 13:00:00,101.55,101.7,101.4,101.6,343072
16,2022-07-25 13:15:00,101.6,101.9,101.6,101.8,346776
17,2022-07-25 13:30:00,101.75,101.75,101.4,101.65,352513
18,2022-07-25 13:45:00,101.65,101.7,101.5,101.55,356507
19,2022-07-25 14:00:00,101.55,101.9,101.45,101.8,365051
20,2022-07-25 14:15:00,101.8,102.15,101.8,102.0,375128
21,2022-07-25 14:30:00,102.0,102.25,101.9,102.2,380182
22,2022-07-25 14:45:00,102.2,103.4,102.1,102.8,472501
23,2022-07-25 15:00:00,102.8,102.8,102.05,102.25,549737
24,2022-07-25 15:15:00,102.1,102.7,102.1,102.7,610989
25,2022-07-25 15:30:00,102.55,102.55,102.35,102.35,645536
