,Date,o,h,l,c,v
0,2022-07-25 09:15:00,2814.95,2866.4,2814.95,2820.95,649
1,2022-07-25 09:30:00,2820.95,2842.45,2800.0,2828.45,1701
2,2022-07-25 09:45:00,2828.45,2837.95,2819.45,2825.85,2170
3,2022-07-25 10:00:00,2830.85,2830.85,2807.9,2813.75,2326
4,2022-07-25 10:15:00,2813.75,2819.9,2813.0,2819.9,2578
5,2022-07-25 10:30:00,2819.9,2819.9,2814.05,2814.45,2649
6,2022-07-25 10:45:00,2814.45,2818.05,2808.0,2815.15,2695
7,2022-07-25 11:00:00,2815.2,2819.7,2812.15,2817.4,2793
8,2022-07-25 11:15:00,2817.4,2818.2,2805.2,2809.15,2896
9,2022-07-25 11:30:00,2809.15,2812.0,2801.3,2812.0,3047
10,2022-07-25 11:45:00,2812.0,2812.0,2802.6,2802.6,3131
11,2022-07-25 12:00:00,2802.6,2812.0,2801.3,2805.2,3205
12,2022-07-25 12:15:00,2805.2,2812.0,2805.2,2808.95,3312
13,2022-07-25 12:30:00,2808.95,2812.0,2805.1,2805.1,3385
14,2022-07-25 12:45:00,2805.1,2811.0,2803.55,2811.0,3435
15,2022-07-25 13:00:00,2811.0,2811.0,2806.5,2810.0,3558
16,2022-07-25 13:15:00,2810.0,2812.15,2807.85,2812.15,3685
17,2022-07-25 13:30:00,2812.15,2815.7,2812.15,2813.4,3704
18,2022-07-25 13:45:00,2813.35,2832.55,2813.3,2826.0,3733
19,2022-07-25 14:00:00,2826.0,2833.1,2822.0,2826.05,3810
20,2022-07-25 14:15:00,2826.05,2829.9,2826.05,2829.9,3891
21,2022-07-25 14:30:00,2829.9,2840.95,2827.05,2840.95,4011
22,2022-07-25 14:45:00,2840.95,2860.0,2840.95,2848.6,4518
23,2022-07-25 15:00:00,2848.6,2855.4,2840.05,2850.0,5068
24,2022-07-25 15:15:00,2850.05,2854.2,2840.0,2849.0,5695
25,2022-07-25 15:30:00,2849.0,2849.0,2848.5,2848.5,5944
