,Date,o,h,l,c,v
0,2022-07-11 09:15:00,396.6,397.7,393.0,393.0,6644
1,2022-07-11 09:30:00,393.0,395.9,393.0,395.9,9309
2,2022-07-11 09:45:00,396.0,396.85,395.2,395.25,10558
3,2022-07-11 10:00:00,395.25,396.9,394.45,396.55,11709
4,2022-07-11 10:15:00,396.55,397.6,396.1,397.6,12044
5,2022-07-11 10:30:00,397.65,398.45,397.0,397.05,14793
6,2022-07-11 10:45:00,397.05,399.1,397.05,399.0,17416
7,2022-07-11 11:00:00,399.0,401.9,399.0,401.0,20233
8,2022-07-11 11:15:00,401.0,401.95,400.15,400.15,20790
9,2022-07-11 11:30:00,399.65,400.3,398.5,399.75,21805
10,2022-07-11 11:45:00,399.75,399.75,399.05,399.05,21840
11,2022-07-11 12:00:00,399.05,401.5,399.05,400.3,25304
12,2022-07-11 12:15:00,400.3,400.95,400.3,400.3,25357
13,2022-07-11 12:30:00,400.3,401.0,400.15,400.4,25425
14,2022-07-11 12:45:00,400.4,401.25,400.4,400.55,25647
15,2022-07-11 13:00:00,400.55,401.1,400.3,401.1,25932
16,2022-07-11 13:15:00,401.1,401.85,401.0,401.0,26311
17,2022-07-11 13:30:00,401.0,402.95,400.85,402.85,27509
18,2022-07-11 13:45:00,402.85,402.85,400.0,400.2,30256
19,2022-07-11 14:00:00,400.2,400.2,399.35,399.35,32983
20,2022-07-11 14:15:00,399.35,401.2,399.35,401.2,33100
21,2022-07-11 14:30:00,401.2,401.95,401.15,401.15,33196
22,2022-07-11 14:45:00,401.15,401.15,397.1,397.1,35237
23,2022-07-11 15:00:00,397.1,399.9,396.85,398.25,67993
24,2022-07-11 15:15:00,398.25,399.65,398.25,399.1,76693
25,2022-07-11 15:30:00,399.1,399.1,398.95,398.95,76793
26,2022-07-12 09:15:00,398.0,401.95,397.25,401.5,2700
27,2022-07-12 09:30:00,401.5,404.35,399.6,404.25,5816
28,2022-07-12 09:45:00,404.0,404.45,399.85,402.4,11993
29,2022-07-12 10:00:00,402.4,403.2,401.5,403.0,13166
30,2022-07-12 10:15:00,403.0,403.45,401.65,402.5,14292
31,2022-07-12 10:30:00,402.5,402.5,400.05,400.4,15422
32,2022-07-12 10:45:00,400.4,400.85,400.4,400.85,15837
