,Date,o,h,l,c,v
0,2022-07-25 09:15:00,299.2,301.55,296.1,296.45,7168
1,2022-07-25 09:30:00,296.45,297.45,295.3,296.3,10752
2,2022-07-25 09:45:00,296.3,296.85,295.55,295.95,14625
3,2022-07-25 10:00:00,295.8,296.4,295.5,295.55,17410
4,2022-07-25 10:15:00,295.55,297.5,295.55,296.45,25208
5,2022-07-25 10:30:00,296.45,297.55,296.45,297.4,27884
6,2022-07-25 10:45:00,297.45,297.55,296.3,296.3,29446
7,2022-07-25 11:00:00,296.3,296.85,296.0,296.05,31318
8,2022-07-25 11:15:00,296.05,297.4,296.05,297.2,32391
9,2022-07-25 11:30:00,297.2,297.3,296.5,296.7,33265
10,2022-07-25 11:45:00,296.7,297.05,296.2,296.2,33988
11,2022-07-25 12:00:00,296.2,296.9,296.0,296.6,35079
12,2022-07-25 12:15:00,296.6,296.9,296.0,296.0,35525
13,2022-07-25 12:30:00,296.0,296.0,295.6,296.0,37078
14,2022-07-25 12:45:00,296.0,296.0,295.6,295.9,37497
15,2022-07-25 13:00:00,295.9,296.0,295.65,295.7,38238
16,2022-07-25 13:15:00,295.7,296.0,295.65,295.85,39552
17,2022-07-25 13:30:00,295.85,296.0,295.65,295.65,41266
18,2022-07-25 13:45:00,295.65,296.15,295.65,296.05,42620
19,2022-07-25 14:00:00,296.05,297.45,295.75,297.45,45072
20,2022-07-25 14:15:00,297.45,297.45,296.0,297.25,49966
21,2022-07-25 14:30:00,297.25,297.45,297.0,297.25,56378
22,2022-07-25 14:45:00,297.25,297.7,297.0,297.45,58115
23,2022-07-25 15:00:00,297.45,297.9,296.95,297.4,61984
24,2022-07-25 15:15:00,297.4,297.4,292.35,293.45,74664
25,2022-07-25 15:30:00,293.45,294.75,293.45,294.75,81501
