,Date,o,h,l,c,v
0,2022-07-25 09:15:00,2751.85,2768.9,2742.45,2744.65,6210
1,2022-07-25 09:30:00,2744.65,2756.4,2737.9,2746.9,13374
2,2022-07-25 09:45:00,2746.9,2749.95,2738.2,2743.25,18237
3,2022-07-25 10:00:00,2743.25,2749.5,2739.1,2743.5,21889
4,2022-07-25 10:15:00,2743.5,2749.85,2742.05,2747.05,24634
5,2022-07-25 10:30:00,2747.05,2749.25,2742.85,2747.5,26014
6,2022-07-25 10:45:00,2747.5,2747.95,2727.0,2730.15,31118
7,2022-07-25 11:00:00,2730.15,2730.4,2718.45,2726.4,39888
8,2022-07-25 11:15:00,2726.4,2728.0,2713.4,2715.75,50351
9,2022-07-25 11:30:00,2715.75,2724.55,2715.0,2722.6,56257
10,2022-07-25 11:45:00,2723.05,2731.95,2723.05,2729.25,58329
11,2022-07-25 12:00:00,2729.25,2736.85,2729.25,2734.25,60714
12,2022-07-25 12:15:00,2734.25,2734.25,2729.85,2734.05,67093
13,2022-07-25 12:30:00,2734.05,2734.25,2719.3,2720.0,78540
14,2022-07-25 12:45:00,2720.0,2720.5,2713.0,2718.95,87398
15,2022-07-25 13:00:00,2718.95,2720.0,2717.0,2718.45,91967
16,2022-07-25 13:15:00,2718.45,2720.0,2714.35,2715.95,95723
17,2022-07-25 13:30:00,2715.95,2718.4,2711.65,2714.95,99698
18,2022-07-25 13:45:00,2714.95,2716.3,2712.0,2714.45,105442
19,2022-07-25 14:00:00,2714.45,2720.0,2713.35,2718.65,109034
20,2022-07-25 14:15:00,2718.65,2736.25,2716.05,2726.2,119559
21,2022-07-25 14:30:00,2726.2,2729.0,2725.0,2727.0,150556
22,2022-07-25 14:45:00,2727.0,2732.5,2724.1,2726.05,223666
23,2022-07-25 15:00:00,2726.05,2727.5,2716.6,2718.1,296682
24,2022-07-25 15:15:00,2717.8,2726.95,2711.2,2716.9,361228
25,2022-07-25 15:30:00,2716.9,2722.55,2716.9,2722.55,391484
