,Date,o,h,l,c,v
0,2022-07-11 09:15:00,3695.5,3695.5,3662.3,3680.75,1234
1,2022-07-11 09:30:00,3683.6,3710.45,3675.0,3710.0,2563
2,2022-07-11 09:45:00,3710.0,3744.7,3700.3,3737.8,4193
3,2022-07-11 10:00:00,3737.8,3740.2,3721.1,3723.5,4876
4,2022-07-11 10:15:00,3723.5,3730.0,3708.4,3730.0,5421
5,2022-07-11 10:30:00,3730.0,3749.9,3730.0,3744.4,6084
6,2022-07-11 10:45:00,3747.4,3747.4,3738.9,3739.95,6193
7,2022-07-11 11:00:00,3739.95,3746.6,3730.0,3734.2,7016
8,2022-07-11 11:15:00,3734.2,3741.75,3732.85,3741.75,7060
9,2022-07-11 11:30:00,3741.75,3741.9,3727.5,3730.0,7417
10,2022-07-11 11:45:00,3730.0,3736.3,3730.0,3730.0,7481
11,2022-07-11 12:00:00,3730.0,3734.25,3730.0,3730.95,7832
12,2022-07-11 12:15:00,3733.5,3741.25,3730.0,3734.2,8568
13,2022-07-11 12:30:00,3734.2,3740.0,3733.05,3737.05,8616
14,2022-07-11 12:45:00,3737.0,3739.85,3737.0,3737.0,8745
15,2022-07-11 13:00:00,3737.0,3770.0,3731.7,3748.4,10862
16,2022-07-11 13:15:00,3748.4,3759.75,3744.4,3748.55,11101
17,2022-07-11 13:30:00,3748.55,3758.5,3748.55,3757.0,11538
18,2022-07-11 13:45:00,3757.0,3767.0,3757.0,3763.75,11691
19,2022-07-11 14:00:00,3763.75,3766.9,3744.5,3758.25,13437
20,2022-07-11 14:15:00,3758.25,3773.7,3755.25,3770.0,15203
21,2022-07-11 14:30:00,3770.05,3783.3,3767.65,3782.5,17005
22,2022-07-11 14:45:00,3782.5,3802.95,3780.0,3799.8,19951
23,2022-07-11 15:00:00,3799.95,3803.45,3772.7,3799.95,24177
24,2022-07-11 15:15:00,3800.0,3800.0,3709.95,3725.95,32677
25,2022-07-11 15:30:00,3762.0,3762.0,3762.0,3762.0,32677
26,2022-07-12 09:15:00,3747.75,3798.45,3730.0,3786.3,2181
27,2022-07-12 09:30:00,3786.3,3815.0,3770.0,3796.9,5659
28,2022-07-12 09:45:00,3794.0,3799.9,3790.0,3799.7,9445
29,2022-07-12 10:00:00,3799.7,3800.0,3796.05,3800.0,10021
30,2022-07-12 10:15:00,3797.05,3799.9,3784.6,3798.0,11107
31,2022-07-12 10:30:00,3798.0,3799.7,3778.9,3789.8,11711
32,2022-07-12 10:45:00,3789.8,3797.0,3789.8,3797.0,12438
