,Date,o,h,l,c,v
0,2022-07-11 09:15:00,384.05,390.25,383.5,384.45,15836
1,2022-07-11 09:30:00,384.45,384.95,381.4,384.35,21542
2,2022-07-11 09:45:00,385.0,385.65,383.1,383.85,24637
3,2022-07-11 10:00:00,383.5,383.85,382.1,383.2,26130
4,2022-07-11 10:15:00,383.2,383.7,382.25,383.7,26754
5,2022-07-11 10:30:00,383.75,383.75,382.2,382.25,28682
6,2022-07-11 10:45:00,382.75,383.8,382.15,383.8,30000
7,2022-07-11 11:00:00,383.8,383.85,382.6,383.5,30363
8,2022-07-11 11:15:00,383.5,384.25,383.2,383.2,35832
9,2022-07-11 11:30:00,383.2,383.85,381.9,382.25,37517
10,2022-07-11 11:45:00,382.25,383.0,382.25,382.75,37806
11,2022-07-11 12:00:00,382.75,383.65,382.4,383.65,38043
12,2022-07-11 12:15:00,383.1,384.0,383.05,383.5,38749
13,2022-07-11 12:30:00,383.5,383.5,382.0,382.0,39826
14,2022-07-11 12:45:00,382.0,382.5,380.55,380.8,40958
15,2022-07-11 13:00:00,380.8,381.25,380.65,381.0,41715
16,2022-07-11 13:15:00,380.8,381.25,380.0,380.9,43411
17,2022-07-11 13:30:00,380.9,382.4,380.9,381.5,44381
18,2022-07-11 13:45:00,381.5,382.25,380.2,381.0,45920
19,2022-07-11 14:00:00,381.0,382.45,381.0,382.05,46438
20,2022-07-11 14:15:00,382.05,382.25,379.5,379.5,49081
21,2022-07-11 14:30:00,378.9,379.85,377.35,379.8,51113
22,2022-07-11 14:45:00,379.8,379.8,377.05,378.1,52298
23,2022-07-11 15:00:00,378.1,379.5,375.15,375.85,58962
24,2022-07-11 15:15:00,375.2,375.9,372.0,375.0,66834
25,2022-07-11 15:30:00,375.5,375.5,375.5,375.5,67028
26,2022-07-12 09:15:00,374.0,378.75,374.0,376.85,2068
27,2022-07-12 09:30:00,376.5,381.45,376.15,380.5,6851
28,2022-07-12 09:45:00,380.5,383.55,380.15,381.45,14167
29,2022-07-12 10:00:00,381.45,381.45,379.1,380.05,17156
30,2022-07-12 10:15:00,380.05,380.8,379.25,380.0,18495
31,2022-07-12 10:30:00,380.0,380.0,378.3,378.7,19409
32,2022-07-12 10:45:00,378.7,379.15,377.1,377.1,20795
