,Date,o,h,l,c,v
0,2022-07-11 09:15:00,564.95,569.4,563.65,565.65,32532
1,2022-07-11 09:30:00,565.55,567.65,564.0,567.55,39139
2,2022-07-11 09:45:00,567.0,567.5,565.1,565.2,46941
3,2022-07-11 10:00:00,565.5,567.15,564.1,566.2,57287
4,2022-07-11 10:15:00,566.55,567.2,565.0,566.5,63011
5,2022-07-11 10:30:00,566.5,567.2,564.25,564.75,71383
6,2022-07-11 10:45:00,564.4,565.6,564.15,564.4,77175
7,2022-07-11 11:00:00,564.35,564.95,562.75,563.85,87233
8,2022-07-11 11:15:00,563.5,564.0,562.0,562.2,95720
9,2022-07-11 11:30:00,562.1,563.95,562.05,563.0,102981
10,2022-07-11 11:45:00,563.15,564.0,562.2,563.35,106510
11,2022-07-11 12:00:00,563.35,566.25,563.35,565.95,116300
12,2022-07-11 12:15:00,565.95,566.0,563.75,564.3,120271
13,2022-07-11 12:30:00,564.1,565.8,563.75,564.55,124916
14,2022-07-11 12:45:00,564.55,565.35,564.2,564.75,127335
15,2022-07-11 13:00:00,564.75,571.6,564.75,570.0,152002
16,2022-07-11 13:15:00,570.15,570.95,566.55,566.75,162467
17,2022-07-11 13:30:00,566.75,568.0,566.6,567.55,166945
18,2022-07-11 13:45:00,567.7,570.0,567.55,569.55,180928
19,2022-07-11 14:00:00,569.9,572.9,569.15,572.55,195841
20,2022-07-11 14:15:00,571.95,572.6,570.85,572.1,208730
21,2022-07-11 14:30:00,572.4,577.0,572.35,576.2,240822
22,2022-07-11 14:45:00,577.0,577.0,574.05,575.45,257200
23,2022-07-11 15:00:00,574.7,578.6,574.7,576.9,280940
24,2022-07-11 15:15:00,576.9,577.15,575.45,575.95,305633
25,2022-07-11 15:30:00,576.75,576.75,576.75,576.75,305879
26,2022-07-12 09:15:00,573.95,574.0,569.4,572.3,54007
27,2022-07-12 09:30:00,572.25,573.0,569.15,571.45,211106
28,2022-07-12 09:45:00,571.15,572.25,569.35,572.0,248551
29,2022-07-12 10:00:00,572.0,572.9,570.0,570.95,258461
30,2022-07-12 10:15:00,570.5,571.95,570.45,570.7,263285
31,2022-07-12 10:30:00,571.25,571.3,570.2,570.4,268379
32,2022-07-12 10:45:00,570.4,570.9,569.3,569.5,275173
