,Date,o,h,l,c,v
0,2022-07-11 09:15:00,685.0,685.0,679.35,680.85,3074
1,2022-07-11 09:30:00,680.0,680.65,674.75,676.7,10071
2,2022-07-11 09:45:00,676.0,679.05,676.0,678.25,11313
3,2022-07-11 10:00:00,678.25,679.05,677.1,678.35,12228
4,2022-07-11 10:15:00,678.7,678.7,677.1,678.7,12725
5,2022-07-11 10:30:00,678.7,678.9,677.75,678.75,13125
6,2022-07-11 10:45:00,678.75,680.05,678.0,678.85,16626
7,2022-07-11 11:00:00,678.85,678.85,668.9,670.0,22592
8,2022-07-11 11:15:00,670.0,670.95,669.0,670.35,27217
9,2022-07-11 11:30:00,670.35,670.35,668.0,669.0,28639
10,2022-07-11 11:45:00,669.0,669.0,667.5,668.1,30265
11,2022-07-11 12:00:00,668.1,668.9,667.25,668.8,31275
12,2022-07-11 12:15:00,668.8,668.95,667.3,667.95,32108
13,2022-07-11 12:30:00,667.95,670.4,667.0,667.95,33708
14,2022-07-11 12:45:00,668.15,669.85,667.1,668.25,35841
15,2022-07-11 13:00:00,668.25,669.25,667.0,668.0,37294
16,2022-07-11 13:15:00,668.0,669.9,667.75,668.9,40097
17,2022-07-11 13:30:00,668.9,669.7,667.8,667.8,41845
18,2022-07-11 13:45:00,667.8,669.3,667.8,668.7,42798
19,2022-07-11 14:00:00,668.7,668.85,667.25,667.7,45378
20,2022-07-11 14:15:00,667.7,668.3,667.5,667.95,47607
21,2022-07-11 14:30:00,667.95,668.0,667.5,667.95,49264
22,2022-07-11 14:45:00,667.95,667.95,667.5,667.5,51261
23,2022-07-11 15:00:00,667.5,668.5,666.45,666.45,59980
24,2022-07-11 15:15:00,666.0,668.0,660.75,668.0,71169
25,2022-07-11 15:30:00,666.2,666.2,666.2,666.2,71300
26,2022-07-12 09:15:00,669.0,674.6,668.2,672.9,4016
27,2022-07-12 09:30:00,672.95,676.0,671.2,673.7,7541
28,2022-07-12 09:45:00,673.0,674.9,673.0,674.45,9916
29,2022-07-12 10:00:00,674.5,679.05,674.5,677.6,11293
30,2022-07-12 10:15:00,677.6,678.4,674.7,676.5,14575
31,2022-07-12 10:30:00,676.5,678.0,674.7,676.0,16116
32,2022-07-12 10:45:00,676.0,678.0,675.55,676.1,16976
