,Date,o,h,l,c,v
0,2022-07-11 09:15:00,210.35,212.55,209.65,211.55,14415
1,2022-07-11 09:30:00,211.9,212.0,209.9,211.3,24874
2,2022-07-11 09:45:00,211.3,211.95,211.05,211.9,28803
3,2022-07-11 10:00:00,211.7,212.5,211.5,212.2,42740
4,2022-07-11 10:15:00,212.3,213.1,212.25,212.75,49900
5,2022-07-11 10:30:00,212.75,212.75,212.25,212.35,52229
6,2022-07-11 10:45:00,212.35,213.2,212.35,213.2,55831
7,2022-07-11 11:00:00,213.2,213.2,212.85,213.0,58931
8,2022-07-11 11:15:00,213.0,213.15,212.5,213.15,67104
9,2022-07-11 11:30:00,213.15,214.45,213.0,214.0,85737
10,2022-07-11 11:45:00,214.0,214.3,213.45,213.95,90834
11,2022-07-11 12:00:00,213.8,215.35,213.75,214.4,104481
12,2022-07-11 12:15:00,214.4,214.85,213.85,214.15,113189
13,2022-07-11 12:30:00,214.15,214.35,213.75,214.25,113977
14,2022-07-11 12:45:00,214.25,214.5,213.85,214.4,115770
15,2022-07-11 13:00:00,214.4,214.4,213.65,214.3,117775
16,2022-07-11 13:15:00,214.25,214.25,213.6,213.75,119077
17,2022-07-11 13:30:00,213.75,214.4,213.7,213.7,124467
18,2022-07-11 13:45:00,213.7,214.0,213.6,213.65,125628
19,2022-07-11 14:00:00,213.65,214.3,213.65,213.95,131637
20,2022-07-11 14:15:00,213.45,213.6,213.0,213.1,136878
21,2022-07-11 14:30:00,213.1,214.3,213.05,214.3,140779
22,2022-07-11 14:45:00,214.3,214.4,213.55,213.95,144512
23,2022-07-11 15:00:00,213.95,215.1,213.6,214.1,160185
24,2022-07-11 15:15:00,214.1,215.5,214.05,214.05,182122
25,2022-07-11 15:30:00,214.05,214.8,214.05,214.8,182122
26,2022-07-12 09:15:00,213.7,214.4,211.05,214.4,6558
27,2022-07-12 09:30:00,214.4,214.4,213.4,213.85,13702
28,2022-07-12 09:45:00,213.85,214.45,213.35,214.0,19514
29,2022-07-12 10:00:00,214.95,219.7,214.95,217.85,112038
30,2022-07-12 10:15:00,218.1,218.75,217.2,218.2,238067
31,2022-07-12 10:30:00,218.0,218.3,217.1,218.25,270351
32,2022-07-12 10:45:00,218.25,218.4,218.0,218.15,279954
