,Date,o,h,l,c,v
0,2022-07-11 09:15:00,39.35,39.35,38.8,39.0,130663
1,2022-07-11 09:30:00,39.1,39.1,38.75,38.85,217358
2,2022-07-11 09:45:00,38.8,38.95,38.8,38.9,241860
3,2022-07-11 10:00:00,38.9,39.1,38.85,39.05,266508
4,2022-07-11 10:15:00,39.05,39.1,38.95,39.0,278702
5,2022-07-11 10:30:00,39.0,39.1,38.95,39.05,363734
6,2022-07-11 10:45:00,39.05,39.1,38.9,39.05,443347
7,2022-07-11 11:00:00,39.05,39.25,39.05,39.2,508796
8,2022-07-11 11:15:00,39.2,39.2,39.05,39.1,563335
9,2022-07-11 11:30:00,39.1,39.15,39.05,39.05,588305
10,2022-07-11 11:45:00,39.05,39.1,39.0,39.05,601889
11,2022-07-11 12:00:00,39.05,39.05,39.0,39.05,618713
12,2022-07-11 12:15:00,39.0,39.05,39.0,39.05,625771
13,2022-07-11 12:30:00,39.05,39.05,38.95,39.05,637197
14,2022-07-11 12:45:00,39.05,39.05,38.9,39.05,642430
15,2022-07-11 13:00:00,39.05,39.05,38.95,39.0,651060
16,2022-07-11 13:15:00,38.95,39.05,38.95,39.0,662001
17,2022-07-11 13:30:00,39.05,39.1,39.0,39.05,669045
18,2022-07-11 13:45:00,39.05,39.1,39.0,39.1,679348
19,2022-07-11 14:00:00,39.1,39.2,39.1,39.15,689463
20,2022-07-11 14:15:00,39.15,39.2,39.05,39.2,704520
21,2022-07-11 14:30:00,39.2,39.25,39.1,39.1,726173
22,2022-07-11 14:45:00,39.1,39.2,39.05,39.1,742449
23,2022-07-11 15:00:00,39.1,39.2,39.05,39.05,816303
24,2022-07-11 15:15:00,39.05,39.25,38.8,39.2,901335
25,2022-07-11 15:30:00,39.05,39.05,39.05,39.05,901435
26,2022-07-12 09:15:00,38.5,38.7,38.25,38.65,141456
27,2022-07-12 09:30:00,38.65,38.7,38.5,38.7,220256
28,2022-07-12 09:45:00,38.7,38.85,38.55,38.7,277108
29,2022-07-12 10:00:00,38.7,38.9,38.7,38.85,315886
30,2022-07-12 10:15:00,38.85,38.95,38.85,38.9,354837
31,2022-07-12 10:30:00,38.8,38.9,38.8,38.9,372631
32,2022-07-12 10:45:00,38.9,39.15,38.85,39.15,435160
