,Date,o,h,l,c,v
0,2022-07-11 09:15:00,2167.7,2174.85,2146.2,2165.95,97473
1,2022-07-11 09:30:00,2165.0,2174.95,2160.0,2171.2,134093
2,2022-07-11 09:45:00,2171.0,2182.0,2161.25,2164.05,177375
3,2022-07-11 10:00:00,2164.05,2165.3,2159.95,2159.95,195722
4,2022-07-11 10:15:00,2159.95,2172.25,2154.25,2170.8,226037
5,2022-07-11 10:30:00,2170.8,2176.35,2167.0,2175.6,246558
6,2022-07-11 10:45:00,2175.6,2187.8,2173.7,2178.95,301517
7,2022-07-11 11:00:00,2178.95,2204.25,2178.2,2200.3,378434
8,2022-07-11 11:15:00,2200.3,2201.2,2189.0,2194.3,419728
9,2022-07-11 11:30:00,2194.65,2208.0,2189.7,2193.0,488712
10,2022-07-11 11:45:00,2193.0,2199.65,2190.5,2191.4,522890
11,2022-07-11 12:00:00,2192.4,2198.0,2191.05,2197.0,548934
12,2022-07-11 12:15:00,2197.0,2197.55,2183.95,2186.05,575258
13,2022-07-11 12:30:00,2186.0,2187.25,2174.7,2178.4,606163
14,2022-07-11 12:45:00,2178.4,2181.0,2169.05,2177.95,642470
15,2022-07-11 13:00:00,2177.95,2180.65,2175.3,2179.95,656399
16,2022-07-11 13:15:00,2179.95,2184.15,2179.0,2181.0,670310
17,2022-07-11 13:30:00,2181.0,2185.2,2180.0,2183.15,685418
18,2022-07-11 13:45:00,2182.35,2183.7,2179.0,2179.85,693052
19,2022-07-11 14:00:00,2179.85,2182.25,2177.75,2181.35,704524
20,2022-07-11 14:15:00,2181.35,2186.85,2180.4,2181.8,718500
21,2022-07-11 14:30:00,2183.1,2184.5,2175.8,2180.3,741689
22,2022-07-11 14:45:00,2180.0,2183.0,2176.35,2179.85,759700
23,2022-07-11 15:00:00,2179.85,2197.5,2179.05,2190.0,824361
24,2022-07-11 15:15:00,2190.1,2191.85,2173.2,2181.05,885083
25,2022-07-11 15:30:00,2186.2,2186.2,2186.2,2186.2,885084
26,2022-07-12 09:15:00,2178.0,2189.5,2161.7,2186.0,36560
27,2022-07-12 09:30:00,2184.45,2196.4,2172.05,2176.5,79833
28,2022-07-12 09:45:00,2176.5,2187.0,2176.5,2187.0,112231
29,2022-07-12 10:00:00,2187.35,2191.55,2183.55,2185.0,127038
30,2022-07-12 10:15:00,2185.0,2186.3,2177.0,2179.35,133305
31,2022-07-12 10:30:00,2179.35,2188.85,2176.0,2187.0,145399
32,2022-07-12 10:45:00,2187.0,2190.0,2185.15,2189.05,164597
