,Date,o,h,l,c,v
0,2022-07-11 09:15:00,526.0,533.6,526.0,531.5,43144
1,2022-07-11 09:30:00,532.0,537.2,532.0,537.2,69934
2,2022-07-11 09:45:00,537.1,542.9,535.5,538.0,108002
3,2022-07-11 10:00:00,538.0,544.6,538.0,544.0,147589
4,2022-07-11 10:15:00,543.65,544.0,541.0,542.95,166977
5,2022-07-11 10:30:00,542.95,545.35,542.6,544.45,188271
6,2022-07-11 10:45:00,544.55,548.55,544.45,547.0,223573
7,2022-07-11 11:00:00,547.0,548.45,545.8,547.35,243391
8,2022-07-11 11:15:00,547.35,551.05,546.95,549.0,285083
9,2022-07-11 11:30:00,548.7,549.0,543.0,545.4,315195
10,2022-07-11 11:45:00,545.5,546.9,543.4,545.5,332348
11,2022-07-11 12:00:00,545.5,546.5,545.15,546.45,348583
12,2022-07-11 12:15:00,546.45,546.5,545.4,545.5,364165
13,2022-07-11 12:30:00,545.75,545.75,543.2,543.9,378014
14,2022-07-11 12:45:00,543.9,549.3,543.4,548.2,396189
15,2022-07-11 13:00:00,548.2,549.85,547.0,549.85,409760
16,2022-07-11 13:15:00,549.85,550.5,547.9,549.35,423779
17,2022-07-11 13:30:00,549.35,550.25,548.3,548.7,435593
18,2022-07-11 13:45:00,549.3,552.8,548.5,550.15,460507
19,2022-07-11 14:00:00,550.25,551.0,549.3,550.2,475431
20,2022-07-11 14:15:00,550.2,552.75,550.0,552.1,491070
21,2022-07-11 14:30:00,552.15,554.7,549.95,549.95,521069
22,2022-07-11 14:45:00,550.15,553.0,550.0,552.15,546520
23,2022-07-11 15:00:00,552.2,553.0,551.8,552.35,574900
24,2022-07-11 15:15:00,552.35,554.0,550.0,550.5,619751
25,2022-07-11 15:30:00,552.45,552.45,552.45,552.45,619751
26,2022-07-12 09:15:00,555.8,567.95,555.8,561.8,114896
27,2022-07-12 09:30:00,561.8,564.0,558.2,562.9,223081
28,2022-07-12 09:45:00,562.5,563.0,560.45,562.6,254950
29,2022-07-12 10:00:00,562.6,573.05,562.55,572.9,290583
30,2022-07-12 10:15:00,573.5,573.9,564.3,570.4,450339
31,2022-07-12 10:30:00,570.4,570.4,568.05,570.0,528576
32,2022-07-12 10:45:00,570.0,572.0,568.9,570.3,568165
