,Date,o,h,l,c,v
0,2022-07-11 09:15:00,144.5,145.0,144.0,144.3,45819
1,2022-07-11 09:30:00,144.25,144.75,143.95,144.75,55499
2,2022-07-11 09:45:00,144.75,145.0,144.65,144.65,73808
3,2022-07-11 10:00:00,144.65,145.0,144.65,144.95,81471
4,2022-07-11 10:15:00,144.95,145.0,144.55,144.95,107518
5,2022-07-11 10:30:00,144.95,145.05,144.75,145.0,123162
6,2022-07-11 10:45:00,145.0,145.0,144.85,145.0,125841
7,2022-07-11 11:00:00,145.0,145.0,144.7,145.0,129047
8,2022-07-11 11:15:00,145.0,145.0,144.7,144.9,131876
9,2022-07-11 11:30:00,144.9,145.0,144.75,144.95,133687
10,2022-07-11 11:45:00,144.95,144.95,144.75,144.95,135521
11,2022-07-11 12:00:00,144.95,145.0,144.65,144.65,138730
12,2022-07-11 12:15:00,144.6,144.8,144.6,144.75,139594
13,2022-07-11 12:30:00,144.75,145.0,144.75,144.9,147095
14,2022-07-11 12:45:00,144.9,145.0,144.6,144.6,148977
15,2022-07-11 13:00:00,144.6,145.0,144.6,144.95,154646
16,2022-07-11 13:15:00,144.95,145.0,144.15,144.25,185133
17,2022-07-11 13:30:00,144.25,144.3,144.05,144.25,212053
18,2022-07-11 13:45:00,144.3,144.3,143.4,144.25,260080
19,2022-07-11 14:00:00,144.25,144.75,143.65,143.95,281644
20,2022-07-11 14:15:00,144.0,144.0,143.4,143.6,308386
21,2022-07-11 14:30:00,143.6,143.85,143.3,143.65,332128
22,2022-07-11 14:45:00,143.65,143.8,143.45,143.6,380655
23,2022-07-11 15:00:00,143.65,143.75,143.4,143.4,406554
24,2022-07-11 15:15:00,143.4,144.0,143.25,143.8,487184
25,2022-07-11 15:30:00,143.6,143.6,143.6,143.6,487287
26,2022-07-12 09:15:00,145.0,145.05,144.65,144.95,94371
27,2022-07-12 09:30:00,144.95,145.05,144.45,144.85,184693
28,2022-07-12 09:45:00,144.7,145.1,144.7,145.0,267361
29,2022-07-12 10:00:00,145.0,145.0,144.85,144.9,308409
30,2022-07-12 10:15:00,144.9,145.0,144.6,144.95,331409
31,2022-07-12 10:30:00,144.95,145.0,143.8,144.0,362858
32,2022-07-12 10:45:00,144.0,144.55,143.9,144.55,495549
