,Date,o,h,l,c,v
0,2022-07-11 09:15:00,473.1,477.0,471.4,474.7,30067
1,2022-07-11 09:30:00,474.7,481.05,474.05,479.05,55788
2,2022-07-11 09:45:00,479.2,484.85,479.2,483.45,104465
3,2022-07-11 10:00:00,483.45,499.0,482.65,493.1,351227
4,2022-07-11 10:15:00,493.05,497.0,492.55,495.0,423359
5,2022-07-11 10:30:00,495.3,499.9,494.0,498.95,569242
6,2022-07-11 10:45:00,498.95,504.5,496.4,503.4,801897
7,2022-07-11 11:00:00,503.4,503.9,498.0,499.7,949425
8,2022-07-11 11:15:00,499.5,500.1,495.0,495.65,1024406
9,2022-07-11 11:30:00,495.35,496.7,493.0,493.25,1082377
10,2022-07-11 11:45:00,493.25,493.7,491.0,492.05,1120145
11,2022-07-11 12:00:00,492.05,493.2,491.55,491.9,1146710
12,2022-07-11 12:15:00,491.9,492.4,490.3,491.45,1168804
13,2022-07-11 12:30:00,491.45,496.8,490.8,495.5,1212590
14,2022-07-11 12:45:00,495.5,498.75,494.6,497.5,1244832
15,2022-07-11 13:00:00,497.35,498.0,494.9,496.95,1272307
16,2022-07-11 13:15:00,496.95,497.55,495.05,495.1,1287867
17,2022-07-11 13:30:00,495.65,497.55,495.2,496.45,1310793
18,2022-07-11 13:45:00,496.75,498.25,496.1,497.4,1330676
19,2022-07-11 14:00:00,496.95,498.6,496.25,497.5,1365691
20,2022-07-11 14:15:00,497.5,497.75,495.55,496.1,1413176
21,2022-07-11 14:30:00,496.1,496.9,492.6,492.65,1441414
22,2022-07-11 14:45:00,492.85,496.0,491.15,495.45,1476997
23,2022-07-11 15:00:00,495.3,495.9,493.2,493.85,1510606
24,2022-07-11 15:15:00,493.85,499.0,491.0,494.0,1656138
25,2022-07-11 15:30:00,494.0,495.2,494.0,495.2,1656613
26,2022-07-12 09:15:00,491.9,506.95,491.8,505.45,101259
27,2022-07-12 09:30:00,506.0,511.0,505.55,508.75,309354
28,2022-07-12 09:45:00,509.0,511.85,507.45,507.65,478237
29,2022-07-12 10:00:00,507.9,510.95,505.0,508.6,581240
30,2022-07-12 10:15:00,508.7,509.3,503.55,504.3,643466
31,2022-07-12 10:30:00,504.3,508.9,504.15,505.25,694229
32,2022-07-12 10:45:00,505.25,505.65,504.0,504.0,756422
