,Date,o,h,l,c,v
0,2022-07-11 09:15:00,1888.95,1888.95,1870.0,1875.4,379
1,2022-07-11 09:30:00,1878.25,1880.0,1873.65,1876.05,660
2,2022-07-11 09:45:00,1876.05,1876.05,1864.7,1869.55,1459
3,2022-07-11 10:00:00,1869.7,1870.7,1866.4,1869.4,1974
4,2022-07-11 10:15:00,1868.0,1871.45,1859.05,1859.05,4352
5,2022-07-11 10:30:00,1859.05,1864.5,1859.05,1863.3,4700
6,2022-07-11 10:45:00,1863.3,1864.85,1859.55,1860.0,4950
7,2022-07-11 11:00:00,1860.0,1860.0,1856.1,1859.8,5316
8,2022-07-11 11:15:00,1859.8,1859.8,1849.5,1849.85,5990
9,2022-07-11 11:30:00,1849.85,1851.95,1849.85,1850.15,6038
10,2022-07-11 11:45:00,1850.15,1850.15,1845.2,1847.3,6255
11,2022-07-11 12:00:00,1847.3,1847.45,1843.55,1845.95,6374
12,2022-07-11 12:15:00,1845.95,1849.6,1845.95,1849.5,6524
13,2022-07-11 12:30:00,1849.5,1849.55,1849.5,1849.5,6538
14,2022-07-11 12:45:00,1849.5,1850.1,1849.35,1850.0,6928
15,2022-07-11 13:00:00,1850.0,1850.0,1846.95,1848.85,6976
16,2022-07-11 13:15:00,1848.9,1850.9,1848.9,1850.0,7134
17,2022-07-11 13:30:00,1850.0,1850.0,1850.0,1850.0,7210
18,2022-07-11 13:45:00,1850.0,1850.0,1843.0,1849.65,7677
19,2022-07-11 14:00:00,1849.65,1850.0,1844.35,1849.5,8336
20,2022-07-11 14:15:00,1849.5,1849.5,1844.95,1844.95,8694
21,2022-07-11 14:30:00,1844.95,1867.7,1844.95,1863.55,10735
22,2022-07-11 14:45:00,1863.55,1863.55,1860.0,1862.4,10860
23,2022-07-11 15:00:00,1862.4,1873.85,1860.0,1865.1,11930
24,2022-07-11 15:15:00,1865.1,1865.1,1848.0,1848.0,13426
25,2022-07-11 15:30:00,1845.3,1861.8,1845.3,1861.8,13440
26,2022-07-12 09:15:00,1872.0,1872.0,1855.35,1860.4,187
27,2022-07-12 09:30:00,1860.4,1862.9,1849.25,1849.25,548
28,2022-07-12 09:45:00,1849.25,1849.25,1837.4,1841.0,1068
29,2022-07-12 10:00:00,1841.0,1841.0,1835.25,1835.55,1367
30,2022-07-12 10:15:00,1835.55,1845.05,1835.55,1842.15,1477
31,2022-07-12 10:30:00,1842.15,1842.15,1836.05,1837.0,1586
32,2022-07-12 10:45:00,1837.0,1840.95,1835.25,1837.2,1910
