,Date,o,h,l,c,v
0,2022-07-11 09:15:00,778.65,786.45,777.65,780.75,4579
1,2022-07-11 09:30:00,780.7,785.05,777.6,779.9,11813
2,2022-07-11 09:45:00,779.85,784.9,779.85,781.65,12406
3,2022-07-11 10:00:00,781.65,782.85,780.35,781.55,13234
4,2022-07-11 10:15:00,782.7,784.85,781.55,784.85,13544
5,2022-07-11 10:30:00,784.9,792.0,784.9,790.5,17242
6,2022-07-11 10:45:00,790.5,791.6,790.0,790.0,18423
7,2022-07-11 11:00:00,790.0,791.05,790.0,790.0,19320
8,2022-07-11 11:15:00,790.05,791.0,790.0,790.5,20130
9,2022-07-11 11:30:00,790.0,792.9,789.1,790.95,21896
10,2022-07-11 11:45:00,790.95,794.45,790.0,793.45,25332
11,2022-07-11 12:00:00,793.45,794.35,790.0,790.5,26360
12,2022-07-11 12:15:00,790.5,791.0,790.0,790.05,26949
13,2022-07-11 12:30:00,790.05,790.65,790.0,790.3,27472
14,2022-07-11 12:45:00,790.3,790.45,790.0,790.0,28098
15,2022-07-11 13:00:00,790.0,790.9,790.0,790.1,28680
16,2022-07-11 13:15:00,790.1,791.0,790.0,790.05,29284
17,2022-07-11 13:30:00,790.05,791.0,790.0,790.0,30350
18,2022-07-11 13:45:00,790.0,793.9,790.0,790.25,31860
19,2022-07-11 14:00:00,790.25,791.0,790.0,790.15,32991
20,2022-07-11 14:15:00,790.15,794.7,790.0,794.7,33859
21,2022-07-11 14:30:00,794.7,795.4,791.7,795.0,36241
22,2022-07-11 14:45:00,795.0,796.0,792.0,792.8,39322
23,2022-07-11 15:00:00,792.8,795.25,791.15,793.1,41265
24,2022-07-11 15:15:00,794.05,796.4,790.0,790.0,44009
25,2022-07-11 15:30:00,793.15,793.15,793.15,793.15,44009
26,2022-07-12 09:15:00,796.9,796.9,787.55,794.5,2693
27,2022-07-12 09:30:00,794.5,795.5,780.5,781.9,7434
28,2022-07-12 09:45:00,783.15,783.15,776.35,777.0,9725
29,2022-07-12 10:00:00,777.0,784.15,777.0,783.9,11590
30,2022-07-12 10:15:00,783.9,793.0,783.9,790.0,16625
31,2022-07-12 10:30:00,790.75,790.75,789.9,790.0,17634
32,2022-07-12 10:45:00,790.0,792.4,790.0,792.4,20741
