,Date,o,h,l,c,v
0,2022-07-11 09:15:00,856.6,857.6,851.9,854.3,99758
1,2022-07-11 09:30:00,854.7,857.9,853.45,856.4,151095
2,2022-07-11 09:45:00,856.4,856.95,855.5,855.8,182113
3,2022-07-11 10:00:00,855.95,861.95,855.8,861.1,272574
4,2022-07-11 10:15:00,861.1,862.4,860.35,861.45,309696
5,2022-07-11 10:30:00,861.35,862.8,860.5,862.8,330800
6,2022-07-11 10:45:00,862.8,863.0,862.0,862.15,350540
7,2022-07-11 11:00:00,862.15,862.25,861.3,862.0,405649
8,2022-07-11 11:15:00,862.0,862.05,858.4,858.65,472246
9,2022-07-11 11:30:00,858.9,858.9,855.9,856.75,520649
10,2022-07-11 11:45:00,856.7,856.75,854.0,855.0,559331
11,2022-07-11 12:00:00,855.0,855.0,853.7,853.9,605149
12,2022-07-11 12:15:00,853.9,854.0,852.45,852.7,672989
13,2022-07-11 12:30:00,852.7,853.0,851.15,851.55,782682
14,2022-07-11 12:45:00,851.55,852.0,851.2,851.95,827777
15,2022-07-11 13:00:00,852.0,854.75,851.7,852.65,908002
16,2022-07-11 13:15:00,852.65,855.0,851.55,854.6,1034996
17,2022-07-11 13:30:00,854.6,855.05,852.15,852.8,1132322
18,2022-07-11 13:45:00,852.8,853.1,851.7,851.95,1203896
19,2022-07-11 14:00:00,852.0,855.0,851.9,854.3,1335880
20,2022-07-11 14:15:00,854.3,854.85,852.8,852.9,1395017
21,2022-07-11 14:30:00,853.0,857.5,852.9,856.5,1464453
22,2022-07-11 14:45:00,856.5,858.55,855.9,857.9,1514251
23,2022-07-11 15:00:00,858.05,858.9,857.0,857.45,1640099
24,2022-07-11 15:15:00,857.45,857.8,854.6,855.8,1768047
25,2022-07-11 15:30:00,857.25,857.25,857.25,857.25,1768047
26,2022-07-12 09:15:00,854.95,856.7,852.2,854.85,77558
27,2022-07-12 09:30:00,854.85,857.9,854.6,856.9,157171
28,2022-07-12 09:45:00,856.9,860.0,856.35,858.8,210571
29,2022-07-12 10:00:00,858.8,859.65,857.4,857.7,255667
30,2022-07-12 10:15:00,858.1,858.35,855.85,856.0,291409
31,2022-07-12 10:30:00,856.0,856.7,855.1,855.65,325826
32,2022-07-12 10:45:00,855.85,856.0,855.0,855.5,376100
