,Date,o,h,l,c,v
0,2022-07-25 09:15:00,521.95,524.45,521.15,521.15,6223
1,2022-07-25 09:30:00,521.15,521.35,517.0,517.05,15057
2,2022-07-25 09:45:00,517.1,519.5,514.95,519.5,26173
3,2022-07-25 10:00:00,519.15,520.7,514.55,516.5,46868
4,2022-07-25 10:15:00,515.6,516.5,515.45,515.8,53926
5,2022-07-25 10:30:00,515.8,516.2,514.95,515.85,56649
6,2022-07-25 10:45:00,515.3,516.2,515.1,515.4,58657
7,2022-07-25 11:00:00,515.2,517.6,515.2,517.2,61461
8,2022-07-25 11:15:00,517.3,517.75,516.5,517.0,68834
9,2022-07-25 11:30:00,517.0,517.0,515.8,516.3,70832
10,2022-07-25 11:45:00,516.3,516.35,515.65,516.2,71476
11,2022-07-25 12:00:00,516.2,517.7,515.7,516.95,72268
12,2022-07-25 12:15:00,516.95,519.7,516.95,517.95,76147
13,2022-07-25 12:30:00,517.95,518.05,516.1,517.5,83022
14,2022-07-25 12:45:00,517.4,517.8,516.85,517.0,84061
15,2022-07-25 13:00:00,517.0,517.0,516.1,516.75,84541
16,2022-07-25 13:15:00,516.75,517.95,516.75,517.15,89920
17,2022-07-25 13:30:00,517.15,517.8,517.05,517.8,100860
18,2022-07-25 13:45:00,517.8,520.8,517.4,519.7,125705
19,2022-07-25 14:00:00,519.7,519.7,518.75,519.7,134241
20,2022-07-25 14:15:00,519.7,519.85,519.4,519.4,135209
21,2022-07-25 14:30:00,519.4,520.3,519.1,519.8,150706
22,2022-07-25 14:45:00,519.55,519.9,518.15,518.7,190649
23,2022-07-25 15:00:00,518.7,519.65,516.65,517.1,195324
24,2022-07-25 15:15:00,517.35,517.35,510.85,511.9,236348
25,2022-07-25 15:30:00,511.35,515.2,511.35,515.2,255378
