,Date,o,h,l,c,v
0,2022-07-25 09:15:00,440.15,445.5,439.25,442.45,57232
1,2022-07-25 09:30:00,442.3,443.8,440.8,442.8,129115
2,2022-07-25 09:45:00,442.45,443.25,440.85,443.25,165600
3,2022-07-25 10:00:00,443.25,443.25,440.6,442.45,194914
4,2022-07-25 10:15:00,442.45,445.4,442.1,443.9,244424
5,2022-07-25 10:30:00,443.2,443.9,442.35,443.75,289908
6,2022-07-25 10:45:00,443.75,444.0,443.05,443.8,309114
7,2022-07-25 11:00:00,443.8,444.35,441.2,441.5,333713
8,2022-07-25 11:15:00,441.5,442.3,440.75,441.5,375055
9,2022-07-25 11:30:00,441.5,442.15,441.05,441.25,403430
10,2022-07-25 11:45:00,441.25,442.0,441.05,441.7,418849
11,2022-07-25 12:00:00,441.7,441.7,439.3,440.15,440199
12,2022-07-25 12:15:00,440.15,440.8,439.6,440.05,466687
13,2022-07-25 12:30:00,440.05,440.3,439.0,439.5,483363
14,2022-07-25 12:45:00,439.5,440.4,439.05,439.75,493645
15,2022-07-25 13:00:00,439.75,440.1,438.1,440.1,513312
16,2022-07-25 13:15:00,439.4,440.95,439.4,440.1,549379
17,2022-07-25 13:30:00,440.1,441.9,439.9,440.9,569989
18,2022-07-25 13:45:00,440.9,441.9,440.75,440.9,584646
19,2022-07-25 14:00:00,440.9,442.5,440.9,442.2,589144
20,2022-07-25 14:15:00,442.2,444.15,441.75,444.1,610137
21,2022-07-25 14:30:00,444.1,444.5,442.6,443.9,627499
22,2022-07-25 14:45:00,443.9,443.9,442.55,443.35,649797
23,2022-07-25 15:00:00,443.35,443.35,442.15,442.65,668049
24,2022-07-25 15:15:00,442.65,443.8,441.7,443.8,723853
25,2022-07-25 15:30:00,442.7,442.7,442.7,442.7,746173
