,Date,o,h,l,c,v
0,2022-07-11 09:15:00,303.5,309.0,302.7,309.0,15613
1,2022-07-11 09:30:00,309.0,310.35,308.3,310.15,18814
2,2022-07-11 09:45:00,310.8,310.8,308.4,308.95,20849
3,2022-07-11 10:00:00,308.95,310.35,307.95,310.05,26032
4,2022-07-11 10:15:00,310.05,310.35,307.0,307.45,32571
5,2022-07-11 10:30:00,307.45,307.85,306.0,307.45,36936
6,2022-07-11 10:45:00,307.45,308.85,306.0,306.5,41522
7,2022-07-11 11:00:00,306.5,308.0,306.2,306.9,42024
8,2022-07-11 11:15:00,306.9,307.95,306.5,307.1,42666
9,2022-07-11 11:30:00,307.1,308.0,307.1,307.6,43466
10,2022-07-11 11:45:00,307.6,308.0,306.05,306.05,46637
11,2022-07-11 12:00:00,306.8,306.95,306.0,306.45,50050
12,2022-07-11 12:15:00,306.45,306.45,305.3,305.6,52792
13,2022-07-11 12:30:00,305.6,306.65,305.6,306.0,54356
14,2022-07-11 12:45:00,306.0,306.0,302.8,302.8,73409
15,2022-07-11 13:00:00,302.8,304.25,302.0,304.0,77579
16,2022-07-11 13:15:00,304.0,305.4,302.95,303.0,90587
17,2022-07-11 13:30:00,303.0,304.85,302.65,304.45,96632
18,2022-07-11 13:45:00,304.45,305.5,304.45,305.3,99606
19,2022-07-11 14:00:00,305.3,306.0,305.0,306.0,101497
20,2022-07-11 14:15:00,306.0,306.0,304.75,305.35,102736
21,2022-07-11 14:30:00,305.35,307.0,305.3,305.8,106309
22,2022-07-11 14:45:00,305.8,306.0,305.0,306.0,110163
23,2022-07-11 15:00:00,306.0,307.1,305.35,305.6,118294
24,2022-07-11 15:15:00,305.6,308.0,305.05,307.25,131119
25,2022-07-11 15:30:00,307.25,307.25,306.6,306.6,131120
26,2022-07-12 09:15:00,304.35,309.05,304.35,308.4,20034
27,2022-07-12 09:30:00,308.1,313.1,307.1,312.0,51820
28,2022-07-12 09:45:00,312.0,313.4,310.0,312.2,85337
29,2022-07-12 10:00:00,312.2,312.2,310.1,311.4,97780
30,2022-07-12 10:15:00,311.4,311.55,310.65,311.5,102081
31,2022-07-12 10:30:00,311.5,311.8,310.65,311.05,108983
32,2022-07-12 10:45:00,311.1,311.8,310.7,311.1,113428
