,Date,o,h,l,c,v
0,2022-07-11 09:15:00,886.2,886.2,881.85,884.55,395
1,2022-07-11 09:30:00,884.55,887.75,884.55,887.75,624
2,2022-07-11 09:45:00,887.75,890.0,886.0,889.05,1575
3,2022-07-11 10:00:00,889.05,889.05,886.1,888.05,2571
4,2022-07-11 10:15:00,888.0,890.35,888.0,890.35,2651
5,2022-07-11 10:30:00,890.35,890.85,888.05,889.0,2900
6,2022-07-11 10:45:00,889.0,889.5,887.1,888.45,3346
7,2022-07-11 11:00:00,888.45,888.45,885.9,887.8,3590
8,2022-07-11 11:15:00,887.8,890.0,885.0,888.0,3909
9,2022-07-11 11:30:00,888.0,889.0,887.5,887.9,4073
10,2022-07-11 11:45:00,887.9,888.0,887.9,887.95,4126
11,2022-07-11 12:00:00,887.95,887.95,884.8,885.3,4332
12,2022-07-11 12:15:00,885.3,886.85,885.3,886.85,4396
13,2022-07-11 12:30:00,888.15,888.55,887.15,887.45,4454
14,2022-07-11 12:45:00,888.5,888.9,886.95,888.35,4482
15,2022-07-11 13:00:00,888.35,888.35,887.05,887.75,4521
16,2022-07-11 13:15:00,888.05,888.35,886.75,887.75,4566
17,2022-07-11 13:30:00,887.75,889.35,887.75,888.35,4753
18,2022-07-11 13:45:00,888.5,888.5,886.0,887.85,4951
19,2022-07-11 14:00:00,886.1,888.5,886.1,887.9,5037
20,2022-07-11 14:15:00,887.9,888.45,887.75,888.2,5133
21,2022-07-11 14:30:00,888.2,888.8,883.95,888.0,6615
22,2022-07-11 14:45:00,888.0,888.0,883.15,885.95,6881
23,2022-07-11 15:00:00,885.95,886.8,880.0,881.3,7437
24,2022-07-11 15:15:00,881.3,888.0,880.95,888.0,7963
25,2022-07-11 15:30:00,888.0,888.0,882.25,882.25,7963
26,2022-07-12 09:15:00,883.8,883.8,879.1,880.25,306
27,2022-07-12 09:30:00,880.25,882.15,879.0,881.0,761
28,2022-07-12 09:45:00,881.0,885.0,880.15,883.55,1058
29,2022-07-12 10:00:00,883.55,886.7,882.65,883.35,1233
30,2022-07-12 10:15:00,883.05,885.0,882.1,884.9,1640
31,2022-07-12 10:30:00,884.9,885.0,881.45,883.2,1746
32,2022-07-12 10:45:00,883.2,883.85,883.2,883.85,1837
