,Date,o,h,l,c,v
0,2022-07-25 09:15:00,574.5,574.5,568.5,570.4,27219
1,2022-07-25 09:30:00,570.4,578.7,570.0,574.0,83398
2,2022-07-25 09:45:00,574.0,577.25,572.0,577.25,115369
3,2022-07-25 10:00:00,577.25,578.2,574.75,577.8,134606
4,2022-07-25 10:15:00,577.8,579.4,573.5,576.3,156587
5,2022-07-25 10:30:00,576.3,577.5,574.85,575.3,187847
6,2022-07-25 10:45:00,575.3,577.9,575.0,577.9,213489
7,2022-07-25 11:00:00,577.9,578.65,575.75,575.9,226541
8,2022-07-25 11:15:00,575.9,578.0,575.55,577.5,236785
9,2022-07-25 11:30:00,576.75,577.5,575.4,575.9,245022
10,2022-07-25 11:45:00,575.9,578.4,575.25,577.8,253478
11,2022-07-25 12:00:00,577.8,577.9,575.75,575.85,264484
12,2022-07-25 12:15:00,576.35,577.0,575.65,575.7,268394
13,2022-07-25 12:30:00,575.7,576.55,575.5,576.3,279360
14,2022-07-25 12:45:00,576.3,576.65,575.3,575.85,284180
15,2022-07-25 13:00:00,575.85,576.0,574.5,576.0,304918
16,2022-07-25 13:15:00,576.0,576.0,575.1,575.9,336560
17,2022-07-25 13:30:00,575.9,576.0,575.05,575.8,341338
18,2022-07-25 13:45:00,575.8,576.45,575.0,575.9,347215
19,2022-07-25 14:00:00,575.9,575.9,574.5,575.6,366634
20,2022-07-25 14:15:00,575.6,576.2,575.1,576.05,402165
21,2022-07-25 14:30:00,576.05,576.75,575.3,576.4,407697
22,2022-07-25 14:45:00,576.4,576.4,570.85,572.3,425847
23,2022-07-25 15:00:00,572.3,572.3,567.25,570.45,461885
24,2022-07-25 15:15:00,570.45,571.35,566.1,567.0,498355
25,2022-07-25 15:30:00,569.25,569.25,569.25,569.25,516529
