,Date,o,h,l,c,v
0,2022-07-11 09:15:00,832.75,836.0,829.75,829.95,172748
1,2022-07-11 09:30:00,829.5,836.25,828.15,836.0,256852
2,2022-07-11 09:45:00,835.6,838.8,835.1,836.95,329121
3,2022-07-11 10:00:00,837.0,840.0,836.2,839.95,376103
4,2022-07-11 10:15:00,839.9,841.0,837.25,840.15,425369
5,2022-07-11 10:30:00,840.2,840.75,835.8,837.45,461371
6,2022-07-11 10:45:00,837.4,839.25,837.0,838.0,477938
7,2022-07-11 11:00:00,838.2,839.25,837.0,839.0,505667
8,2022-07-11 11:15:00,839.0,841.0,837.55,837.8,538836
9,2022-07-11 11:30:00,837.8,839.45,835.25,835.6,562783
10,2022-07-11 11:45:00,835.55,836.0,834.25,836.0,589711
11,2022-07-11 12:00:00,836.0,839.5,835.7,839.45,612532
12,2022-07-11 12:15:00,839.45,839.45,837.5,837.5,632677
13,2022-07-11 12:30:00,837.9,838.5,836.4,837.95,644560
14,2022-07-11 12:45:00,837.95,839.0,837.55,838.9,650606
15,2022-07-11 13:00:00,838.95,839.15,837.0,838.9,665375
16,2022-07-11 13:15:00,838.9,841.45,838.25,840.2,697921
17,2022-07-11 13:30:00,840.5,843.9,840.4,842.15,765938
18,2022-07-11 13:45:00,842.5,842.85,838.9,838.9,811602
19,2022-07-11 14:00:00,839.0,841.75,838.75,840.9,830362
20,2022-07-11 14:15:00,840.9,844.0,839.55,842.95,872091
21,2022-07-11 14:30:00,843.0,844.0,841.0,843.45,911747
22,2022-07-11 14:45:00,843.0,843.75,841.0,843.05,941205
23,2022-07-11 15:00:00,843.05,844.1,842.5,844.0,1000060
24,2022-07-11 15:15:00,843.9,844.45,840.6,842.15,1076825
25,2022-07-11 15:30:00,842.45,843.1,842.45,843.1,1077538
26,2022-07-12 09:15:00,838.95,841.1,834.85,839.0,62833
27,2022-07-12 09:30:00,839.0,842.95,838.0,841.5,122315
28,2022-07-12 09:45:00,841.0,842.7,840.15,841.3,167062
29,2022-07-12 10:00:00,841.3,843.85,840.85,843.5,191309
30,2022-07-12 10:15:00,843.5,843.7,842.05,842.45,225334
31,2022-07-12 10:30:00,842.45,844.7,842.45,843.5,248856
32,2022-07-12 10:45:00,843.5,843.5,841.8,842.85,270780
