,Date,o,h,l,c,v
0,2022-07-11 09:15:00,210.95,213.0,210.95,212.45,86995
1,2022-07-11 09:30:00,212.5,213.35,212.15,213.0,131643
2,2022-07-11 09:45:00,213.1,213.2,211.0,211.3,183657
3,2022-07-11 10:00:00,211.3,211.75,211.3,211.4,222230
4,2022-07-11 10:15:00,211.3,211.75,211.15,211.7,236036
5,2022-07-11 10:30:00,211.7,211.7,211.3,211.5,249946
6,2022-07-11 10:45:00,211.5,211.95,211.4,211.65,263416
7,2022-07-11 11:00:00,211.65,211.8,211.1,211.4,274893
8,2022-07-11 11:15:00,211.4,211.65,211.25,211.25,288851
9,2022-07-11 11:30:00,211.25,211.65,210.85,211.0,304330
10,2022-07-11 11:45:00,211.0,211.5,210.8,211.3,320099
11,2022-07-11 12:00:00,211.3,211.45,211.0,211.1,329974
12,2022-07-11 12:15:00,211.0,211.3,210.8,211.0,341256
13,2022-07-11 12:30:00,211.0,211.4,210.8,211.2,345380
14,2022-07-11 12:45:00,211.2,211.4,211.0,211.2,348519
15,2022-07-11 13:00:00,211.2,211.35,211.05,211.2,352014
16,2022-07-11 13:15:00,211.2,211.45,211.15,211.25,363114
17,2022-07-11 13:30:00,211.25,212.0,211.25,212.0,378768
18,2022-07-11 13:45:00,212.0,212.2,211.75,211.85,391837
19,2022-07-11 14:00:00,211.85,212.6,211.75,212.2,427733
20,2022-07-11 14:15:00,212.45,213.05,212.2,212.35,477333
21,2022-07-11 14:30:00,212.35,212.55,211.55,212.25,494466
22,2022-07-11 14:45:00,212.25,212.35,211.65,212.1,514722
23,2022-07-11 15:00:00,212.1,212.4,211.4,211.6,544179
24,2022-07-11 15:15:00,211.6,211.75,210.9,211.05,586160
25,2022-07-11 15:30:00,211.05,211.65,211.05,211.65,586165
26,2022-07-12 09:15:00,211.0,211.8,209.35,211.5,78827
27,2022-07-12 09:30:00,211.6,211.75,211.25,211.5,127511
28,2022-07-12 09:45:00,211.5,211.8,211.0,211.3,145310
29,2022-07-12 10:00:00,211.3,211.65,211.2,211.35,171231
30,2022-07-12 10:15:00,211.35,211.55,211.0,211.05,177590
31,2022-07-12 10:30:00,211.05,211.5,210.65,211.5,231148
32,2022-07-12 10:45:00,211.5,211.5,211.05,211.2,264731
