,Date,o,h,l,c,v
0,2022-07-25 09:15:00,1441.1,1447.8,1437.75,1437.75,454
1,2022-07-25 09:30:00,1437.75,1440.0,1436.0,1438.5,951
2,2022-07-25 09:45:00,1438.5,1441.0,1435.95,1440.05,1388
3,2022-07-25 10:00:00,1440.05,1441.0,1437.85,1440.65,1818
4,2022-07-25 10:15:00,1440.65,1445.0,1436.8,1436.8,2592
5,2022-07-25 10:30:00,1436.8,1441.0,1436.8,1441.0,2855
6,2022-07-25 10:45:00,1441.0,1443.45,1441.0,1443.4,2993
7,2022-07-25 11:00:00,1443.4,1444.1,1437.85,1444.1,3318
8,2022-07-25 11:15:00,1444.1,1444.95,1440.1,1442.1,3660
9,2022-07-25 11:30:00,1442.1,1444.55,1440.55,1444.55,3860
10,2022-07-25 11:45:00,1444.55,1444.9,1441.8,1444.0,4050
11,2022-07-25 12:00:00,1444.0,1444.9,1441.9,1444.15,4250
12,2022-07-25 12:15:00,1444.15,1444.15,1440.05,1442.7,4366
13,2022-07-25 12:30:00,1442.7,1445.6,1442.7,1443.25,4483
14,2022-07-25 12:45:00,1443.25,1445.9,1443.25,1445.15,4743
15,2022-07-25 13:00:00,1445.15,1445.35,1442.1,1444.7,4967
16,2022-07-25 13:15:00,1444.7,1449.6,1442.8,1444.75,5331
17,2022-07-25 13:30:00,1444.8,1444.8,1441.25,1441.5,5667
18,2022-07-25 13:45:00,1441.7,1446.7,1441.7,1446.0,5847
19,2022-07-25 14:00:00,1446.0,1447.65,1443.2,1445.95,5945
20,2022-07-25 14:15:00,1446.0,1446.0,1442.5,1445.6,6300
21,2022-07-25 14:30:00,1445.6,1445.85,1441.6,1445.8,6757
22,2022-07-25 14:45:00,1445.8,1446.0,1442.5,1442.7,7656
23,2022-07-25 15:00:00,1445.6,1445.6,1439.0,1439.0,8176
24,2022-07-25 15:15:00,1440.35,1444.9,1435.0,1435.0,8942
25,2022-07-25 15:30:00,1440.7,1440.7,1440.7,1440.7,9649
