,Date,o,h,l,c,v
0,2022-07-11 09:15:00,437.45,441.0,436.2,437.95,1794348
1,2022-07-11 09:30:00,437.8,439.45,437.2,439.0,2322466
2,2022-07-11 09:45:00,439.05,440.25,438.4,438.5,2985221
3,2022-07-11 10:00:00,438.4,438.55,437.25,438.15,3412571
4,2022-07-11 10:15:00,438.0,438.25,437.0,437.95,3766104
5,2022-07-11 10:30:00,437.9,438.0,436.9,437.25,4097867
6,2022-07-11 10:45:00,437.2,437.45,435.6,436.15,4576364
7,2022-07-11 11:00:00,436.15,437.2,436.0,436.85,4789623
8,2022-07-11 11:15:00,436.7,436.9,434.55,434.8,5306060
9,2022-07-11 11:30:00,434.85,435.45,433.5,434.0,5850606
10,2022-07-11 11:45:00,434.0,434.95,433.7,434.95,6132874
11,2022-07-11 12:00:00,435.0,435.35,434.4,434.9,6401458
12,2022-07-11 12:15:00,434.75,434.9,433.5,433.95,6713105
13,2022-07-11 12:30:00,433.95,435.6,433.5,435.1,7146691
14,2022-07-11 12:45:00,435.1,435.4,434.5,434.95,7378838
15,2022-07-11 13:00:00,435.0,436.75,434.55,436.55,7780720
16,2022-07-11 13:15:00,436.7,437.35,435.8,436.05,8157884
17,2022-07-11 13:30:00,436.15,437.95,436.0,437.7,8628523
18,2022-07-11 13:45:00,437.7,438.85,437.15,437.35,9259282
19,2022-07-11 14:00:00,437.15,438.75,437.15,438.3,9580108
20,2022-07-11 14:15:00,438.3,439.2,438.1,438.85,10005457
21,2022-07-11 14:30:00,438.9,440.05,437.65,438.4,10704001
22,2022-07-11 14:45:00,438.4,438.85,437.5,437.85,11015509
23,2022-07-11 15:00:00,437.85,438.5,436.8,437.3,11619166
24,2022-07-11 15:15:00,437.2,437.5,435.8,435.8,12611771
25,2022-07-11 15:30:00,437.05,437.05,437.05,437.05,12618755
26,2022-07-12 09:15:00,432.95,434.3,431.0,433.5,934559
27,2022-07-12 09:30:00,433.65,434.6,432.6,434.25,1691948
28,2022-07-12 09:45:00,434.25,435.0,433.2,433.7,2165762
29,2022-07-12 10:00:00,433.65,434.4,433.0,433.8,2542266
30,2022-07-12 10:15:00,433.8,434.7,433.25,434.6,2766330
31,2022-07-12 10:30:00,434.6,434.7,433.7,433.8,2958750
32,2022-07-12 10:45:00,433.8,434.2,433.4,434.2,3159855
