,Date,o,h,l,c,v
0,2022-07-11 09:15:00,218.65,221.15,218.4,220.85,2614840
1,2022-07-11 09:30:00,220.85,221.8,220.35,221.15,3954745
2,2022-07-11 09:45:00,221.15,221.5,220.55,220.85,4757399
3,2022-07-11 10:00:00,220.9,220.9,220.35,220.6,5080546
4,2022-07-11 10:15:00,220.6,220.9,220.3,220.9,5518788
5,2022-07-11 10:30:00,220.85,221.05,220.35,220.75,5825450
6,2022-07-11 10:45:00,220.75,220.8,220.05,220.3,6066819
7,2022-07-11 11:00:00,220.3,220.4,219.6,220.25,6596253
8,2022-07-11 11:15:00,220.25,220.25,219.8,219.85,6855450
9,2022-07-11 11:30:00,219.8,220.4,219.75,219.95,7206161
10,2022-07-11 11:45:00,219.95,220.35,219.8,220.2,7365532
11,2022-07-11 12:00:00,220.3,220.95,220.25,220.75,7635674
12,2022-07-11 12:15:00,220.75,220.95,220.3,220.35,7881978
13,2022-07-11 12:30:00,220.45,220.9,220.15,220.7,8129726
14,2022-07-11 12:45:00,220.7,220.9,220.55,220.7,8335653
15,2022-07-11 13:00:00,220.7,221.35,220.6,221.35,8748830
16,2022-07-11 13:15:00,221.35,221.75,221.2,221.25,9332516
17,2022-07-11 13:30:00,221.3,221.7,221.1,221.55,9857903
18,2022-07-11 13:45:00,221.55,221.65,220.85,220.9,10262990
19,2022-07-11 14:00:00,221.0,221.3,220.7,220.85,10593614
20,2022-07-11 14:15:00,220.85,221.4,220.75,221.1,11381982
21,2022-07-11 14:30:00,221.2,221.6,220.85,221.1,11883237
22,2022-07-11 14:45:00,221.1,221.3,220.7,220.85,12516248
23,2022-07-11 15:00:00,220.85,221.3,220.8,221.0,13213762
24,2022-07-11 15:15:00,220.9,221.0,220.05,220.2,14984468
25,2022-07-11 15:30:00,220.75,220.75,220.75,220.75,14989037
26,2022-07-12 09:15:00,219.85,223.45,219.1,223.35,849518
27,2022-07-12 09:30:00,223.4,223.75,222.05,223.05,3146759
28,2022-07-12 09:45:00,223.1,223.1,222.25,222.35,4210470
29,2022-07-12 10:00:00,222.35,223.15,222.35,223.05,4835910
30,2022-07-12 10:15:00,222.95,223.2,222.65,222.8,5318608
31,2022-07-12 10:30:00,222.8,223.0,222.5,222.55,5754771
32,2022-07-12 10:45:00,222.55,223.1,222.5,223.1,6176949
