,Date,o,h,l,c,v
0,2022-07-25 09:15:00,935.9,946.7,934.05,942.3,614356
1,2022-07-25 09:30:00,942.5,953.95,940.6,951.5,1443216
2,2022-07-25 09:45:00,951.65,954.85,947.1,949.7,2313678
3,2022-07-25 10:00:00,949.5,950.15,946.05,949.0,2766863
4,2022-07-25 10:15:00,949.0,952.5,948.7,950.4,3142506
5,2022-07-25 10:30:00,950.4,952.8,950.4,952.3,3391284
6,2022-07-25 10:45:00,952.3,952.4,950.35,951.5,3565755
7,2022-07-25 11:00:00,951.8,951.8,949.05,949.95,3754404
8,2022-07-25 11:15:00,950.25,957.45,949.7,956.2,4024935
9,2022-07-25 11:30:00,955.8,959.7,955.0,958.85,4603269
10,2022-07-25 11:45:00,958.8,961.7,957.3,961.15,5094097
11,2022-07-25 12:00:00,960.95,963.7,959.6,961.5,5732269
12,2022-07-25 12:15:00,961.5,961.85,955.95,957.2,6146200
13,2022-07-25 12:30:00,957.3,960.0,956.0,960.0,6456592
14,2022-07-25 12:45:00,960.0,960.9,956.5,957.65,6714478
15,2022-07-25 13:00:00,957.8,960.3,956.5,959.45,6896384
16,2022-07-25 13:15:00,959.25,959.7,956.65,958.0,7084270
17,2022-07-25 13:30:00,958.0,959.25,957.0,958.0,7221757
18,2022-07-25 13:45:00,958.4,959.15,957.55,958.8,7367032
19,2022-07-25 14:00:00,958.8,964.3,958.8,963.0,7644971
20,2022-07-25 14:15:00,962.9,964.75,960.55,961.0,8038699
21,2022-07-25 14:30:00,961.25,962.6,960.55,962.3,8301604
22,2022-07-25 14:45:00,962.35,962.35,957.15,960.65,8664646
23,2022-07-25 15:00:00,960.4,962.45,958.55,959.1,9023671
24,2022-07-25 15:15:00,959.0,964.7,958.5,964.7,9667002
25,2022-07-25 15:30:00,964.7,964.7,960.7,960.7,9962010
