,Date,o,h,l,c,v
0,2022-07-11 09:15:00,610.9,613.75,603.15,608.1,3267
1,2022-07-11 09:30:00,608.1,610.0,601.65,604.4,7221
2,2022-07-11 09:45:00,604.4,605.0,602.2,603.75,7974
3,2022-07-11 10:00:00,604.75,604.9,602.95,603.35,8729
4,2022-07-11 10:15:00,603.35,604.9,602.0,602.75,9438
5,2022-07-11 10:30:00,603.55,603.7,602.1,603.15,9950
6,2022-07-11 10:45:00,603.15,604.8,602.55,604.8,11445
7,2022-07-11 11:00:00,604.8,604.8,602.7,603.85,11741
8,2022-07-11 11:15:00,603.85,604.7,603.0,604.0,12261
9,2022-07-11 11:30:00,604.0,604.75,603.55,604.7,12423
10,2022-07-11 11:45:00,604.7,604.7,603.05,603.35,12773
11,2022-07-11 12:00:00,604.15,604.8,603.35,603.75,13187
12,2022-07-11 12:15:00,603.75,604.75,603.45,603.7,13316
13,2022-07-11 12:30:00,604.45,604.5,603.05,603.05,13800
14,2022-07-11 12:45:00,603.8,603.95,603.15,603.9,13910
15,2022-07-11 13:00:00,603.95,604.45,602.5,603.7,14350
16,2022-07-11 13:15:00,603.7,606.9,602.6,606.9,17425
17,2022-07-11 13:30:00,606.9,620.8,606.9,617.1,27397
18,2022-07-11 13:45:00,617.1,617.95,615.0,616.8,29558
19,2022-07-11 14:00:00,616.5,617.45,615.1,615.85,32871
20,2022-07-11 14:15:00,615.85,617.25,615.0,617.25,34580
21,2022-07-11 14:30:00,617.25,617.25,615.1,615.1,35816
22,2022-07-11 14:45:00,615.1,616.0,612.65,614.85,37727
23,2022-07-11 15:00:00,615.5,616.0,612.0,612.0,39948
24,2022-07-11 15:15:00,612.0,615.95,610.0,610.0,42457
25,2022-07-11 15:30:00,613.4,613.4,613.4,613.4,42457
26,2022-07-12 09:15:00,612.0,612.0,608.0,610.5,1164
27,2022-07-12 09:30:00,611.25,618.55,609.1,615.85,3310
28,2022-07-12 09:45:00,615.85,616.7,612.8,615.1,4559
29,2022-07-12 10:00:00,615.1,616.75,614.0,614.0,6183
30,2022-07-12 10:15:00,614.1,615.2,611.0,615.2,7109
31,2022-07-12 10:30:00,614.85,614.85,613.5,613.95,7494
32,2022-07-12 10:45:00,613.95,613.95,612.65,613.15,7949
