,Date,o,h,l,c,v
0,2022-07-11 09:15:00,522.5,558.5,522.5,550.1,19140
1,2022-07-11 09:30:00,550.05,553.5,545.1,549.6,24021
2,2022-07-11 09:45:00,551.05,560.0,551.05,554.6,38077
3,2022-07-11 10:00:00,554.6,556.25,552.95,552.95,43879
4,2022-07-11 10:15:00,552.95,560.05,552.0,557.0,54242
5,2022-07-11 10:30:00,557.0,564.0,556.1,562.85,99220
6,2022-07-11 10:45:00,562.85,562.85,550.0,555.0,125976
7,2022-07-11 11:00:00,555.0,556.65,551.1,556.65,128797
8,2022-07-11 11:15:00,556.65,557.1,553.0,555.05,130277
9,2022-07-11 11:30:00,555.05,558.0,555.0,555.0,131999
10,2022-07-11 11:45:00,555.0,556.4,552.8,555.0,133881
11,2022-07-11 12:00:00,555.0,561.4,555.0,556.15,141825
12,2022-07-11 12:15:00,556.15,559.0,553.35,555.0,143295
13,2022-07-11 12:30:00,555.0,556.7,554.85,555.1,144177
14,2022-07-11 12:45:00,555.1,556.7,555.0,556.05,144515
15,2022-07-11 13:00:00,556.05,556.55,553.95,556.15,144980
16,2022-07-11 13:15:00,556.15,556.55,554.5,554.5,145491
17,2022-07-11 13:30:00,554.5,556.55,554.5,555.5,145754
18,2022-07-11 13:45:00,555.5,556.0,554.45,555.0,146504
19,2022-07-11 14:00:00,555.35,563.0,555.0,557.75,156559
20,2022-07-11 14:15:00,557.75,557.75,551.0,551.0,161337
21,2022-07-11 14:30:00,551.0,552.15,547.1,549.55,163121
22,2022-07-11 14:45:00,549.55,552.85,549.55,551.0,164006
23,2022-07-11 15:00:00,551.0,552.6,548.0,550.8,167508
24,2022-07-11 15:15:00,550.8,554.45,549.0,554.45,173540
25,2022-07-11 15:30:00,550.15,550.15,550.15,550.15,173612
26,2022-07-12 09:15:00,555.65,555.65,543.45,549.35,1769
27,2022-07-12 09:30:00,549.35,552.65,548.0,551.6,2845
28,2022-07-12 09:45:00,550.25,550.25,540.0,544.0,4172
29,2022-07-12 10:00:00,544.0,547.5,544.0,544.8,6711
30,2022-07-12 10:15:00,544.2,545.0,541.85,544.55,8031
31,2022-07-12 10:30:00,544.55,545.85,544.0,544.6,9109
32,2022-07-12 10:45:00,544.6,544.6,543.15,544.0,9324
