,Date,o,h,l,c,v
0,2022-07-11 09:15:00,3213.8,3213.8,3115.15,3124.85,1440155
1,2022-07-11 09:30:00,3124.8,3138.7,3117.05,3128.0,1939291
2,2022-07-11 09:45:00,3128.1,3135.1,3110.25,3116.6,2422895
3,2022-07-11 10:00:00,3115.8,3123.45,3113.55,3120.5,2650922
4,2022-07-11 10:15:00,3120.0,3123.7,3114.9,3119.0,2821588
5,2022-07-11 10:30:00,3119.0,3121.4,3111.9,3121.0,2968290
6,2022-07-11 10:45:00,3120.8,3129.7,3117.7,3128.35,3112247
7,2022-07-11 11:00:00,3128.3,3129.65,3119.0,3128.2,3570113
8,2022-07-11 11:15:00,3128.0,3128.0,3122.2,3124.5,3890797
9,2022-07-11 11:30:00,3125.0,3129.4,3119.3,3122.25,4016548
10,2022-07-11 11:45:00,3122.0,3126.85,3120.0,3120.4,4272108
11,2022-07-11 12:00:00,3120.4,3122.4,3118.0,3120.15,4538576
12,2022-07-11 12:15:00,3120.35,3121.0,3115.0,3115.05,4639645
13,2022-07-11 12:30:00,3115.05,3120.6,3106.15,3118.45,4864099
14,2022-07-11 12:45:00,3118.45,3121.8,3115.0,3119.25,4954849
15,2022-07-11 13:00:00,3119.25,3125.0,3119.0,3122.0,5071725
16,2022-07-11 13:15:00,3122.0,3123.35,3117.5,3119.0,5165414
17,2022-07-11 13:30:00,3119.0,3121.0,3118.45,3120.0,5475180
18,2022-07-11 13:45:00,3120.0,3125.9,3118.9,3125.0,5587736
19,2022-07-11 14:00:00,3124.95,3127.8,3122.0,3125.0,5730153
20,2022-07-11 14:15:00,3125.0,3125.05,3118.0,3121.2,5853103
21,2022-07-11 14:30:00,3121.95,3134.05,3120.0,3126.6,6056782
22,2022-07-11 14:45:00,3126.6,3127.5,3120.3,3123.15,6180103
23,2022-07-11 15:00:00,3123.2,3124.5,3115.1,3120.0,6455800
24,2022-07-11 15:15:00,3119.5,3120.0,3106.7,3112.0,6971220
25,2022-07-11 15:30:00,3113.8,3113.8,3113.8,3113.8,6973079
26,2022-07-12 09:15:00,3113.15,3129.85,3103.95,3125.3,393026
27,2022-07-12 09:30:00,3125.0,3135.95,3122.1,3125.2,808693
28,2022-07-12 09:45:00,3125.2,3129.35,3122.5,3128.6,1034517
29,2022-07-12 10:00:00,3127.75,3131.85,3124.0,3124.8,1151774
30,2022-07-12 10:15:00,3125.1,3126.0,3116.2,3120.0,1306418
31,2022-07-12 10:30:00,3119.0,3122.5,3117.95,3119.0,1446301
32,2022-07-12 10:45:00,3119.0,3120.0,3117.05,3117.75,1509746
