,Date,o,h,l,c,v
0,2022-07-25 09:15:00,1028.25,1028.25,1009.85,1020.95,352957
1,2022-07-25 09:30:00,1020.1,1021.85,1016.05,1016.3,673392
2,2022-07-25 09:45:00,1016.3,1018.25,1014.0,1016.3,823498
3,2022-07-25 10:00:00,1016.3,1019.7,1015.0,1018.5,934521
4,2022-07-25 10:15:00,1018.95,1020.8,1016.75,1018.0,1003487
5,2022-07-25 10:30:00,1018.35,1019.5,1015.5,1016.05,1071947
6,2022-07-25 10:45:00,1016.05,1019.85,1016.05,1016.4,1121033
7,2022-07-25 11:00:00,1016.4,1018.4,1015.0,1015.2,1174713
8,2022-07-25 11:15:00,1015.3,1015.95,1012.3,1012.65,1244142
9,2022-07-25 11:30:00,1012.65,1014.25,1011.25,1013.85,1324801
10,2022-07-25 11:45:00,1013.85,1016.6,1013.1,1015.25,1376535
11,2022-07-25 12:00:00,1015.25,1016.55,1012.05,1014.5,1444071
12,2022-07-25 12:15:00,1014.5,1015.95,1014.0,1015.75,1506238
13,2022-07-25 12:30:00,1015.75,1017.35,1015.4,1016.5,1577868
14,2022-07-25 12:45:00,1016.5,1017.4,1014.0,1015.55,1662080
15,2022-07-25 13:00:00,1015.6,1018.5,1015.5,1017.9,1732502
16,2022-07-25 13:15:00,1017.9,1018.5,1017.05,1018.0,1807827
17,2022-07-25 13:30:00,1018.0,1021.4,1016.95,1021.05,1892841
18,2022-07-25 13:45:00,1021.15,1021.15,1017.65,1018.85,1989503
19,2022-07-25 14:00:00,1019.65,1021.05,1016.05,1017.45,2077182
20,2022-07-25 14:15:00,1017.5,1019.6,1017.2,1018.15,2290913
21,2022-07-25 14:30:00,1018.5,1020.3,1017.85,1019.2,2395229
22,2022-07-25 14:45:00,1019.2,1019.2,1016.5,1019.0,2509023
23,2022-07-25 15:00:00,1018.5,1018.8,1016.4,1016.55,2610365
24,2022-07-25 15:15:00,1016.9,1018.15,1012.3,1013.5,2827841
25,2022-07-25 15:30:00,1014.0,1017.25,1014.0,1017.25,2886547
