,Date,o,h,l,c,v
0,2022-07-11 09:15:00,2071.95,2092.25,2070.85,2080.15,1942
1,2022-07-11 09:30:00,2080.15,2095.65,2076.1,2090.05,2848
2,2022-07-11 09:45:00,2090.05,2096.0,2089.65,2090.0,3413
3,2022-07-11 10:00:00,2090.0,2100.0,2085.0,2085.25,4743
4,2022-07-11 10:15:00,2085.25,2092.3,2085.0,2092.3,5557
5,2022-07-11 10:30:00,2092.3,2096.9,2089.0,2091.8,5849
6,2022-07-11 10:45:00,2091.8,2095.0,2085.35,2085.35,26215
7,2022-07-11 11:00:00,2085.35,2093.8,2085.3,2093.8,26770
8,2022-07-11 11:15:00,2093.8,2095.7,2090.0,2090.0,26938
9,2022-07-11 11:30:00,2090.0,2090.0,2085.4,2085.4,27190
10,2022-07-11 11:45:00,2085.4,2088.15,2085.4,2087.1,27223
11,2022-07-11 12:00:00,2087.1,2089.4,2081.75,2081.8,27343
12,2022-07-11 12:15:00,2081.8,2083.65,2080.35,2080.35,27431
13,2022-07-11 12:30:00,2080.35,2084.2,2080.0,2082.25,27481
14,2022-07-11 12:45:00,2082.25,2084.4,2076.35,2076.35,27839
15,2022-07-11 13:00:00,2076.35,2082.8,2076.35,2081.25,27994
16,2022-07-11 13:15:00,2081.25,2084.3,2070.0,2070.05,29179
17,2022-07-11 13:30:00,2070.05,2078.6,2070.05,2075.0,29494
18,2022-07-11 13:45:00,2075.0,2091.95,2075.0,2087.8,29890
19,2022-07-11 14:00:00,2088.75,2089.2,2078.9,2078.9,30416
20,2022-07-11 14:15:00,2078.9,2083.75,2078.9,2079.0,30686
21,2022-07-11 14:30:00,2079.0,2081.9,2076.75,2081.9,30958
22,2022-07-11 14:45:00,2081.9,2090.0,2078.0,2078.0,31625
23,2022-07-11 15:00:00,2078.0,2096.0,2078.0,2081.8,33284
24,2022-07-11 15:15:00,2088.25,2100.0,2081.75,2085.15,36032
25,2022-07-11 15:30:00,2099.0,2099.0,2090.55,2090.55,36073
26,2022-07-12 09:15:00,2089.7,2098.5,2081.55,2094.15,2975
27,2022-07-12 09:30:00,2094.15,2098.55,2092.6,2096.95,4316
28,2022-07-12 09:45:00,2096.95,2099.6,2096.5,2099.5,4819
29,2022-07-12 10:00:00,2099.5,2100.0,2096.7,2096.7,5257
30,2022-07-12 10:15:00,2096.7,2098.95,2093.95,2096.8,5405
31,2022-07-12 10:30:00,2098.05,2100.0,2085.0,2089.0,6057
32,2022-07-12 10:45:00,2091.0,2091.65,2088.0,2090.0,8199
