,Date,o,h,l,c,v
0,2022-07-11 09:15:00,622.85,626.0,618.95,619.4,1873
1,2022-07-11 09:30:00,619.4,620.0,618.2,619.9,2348
2,2022-07-11 09:45:00,619.9,621.5,619.4,621.0,3055
3,2022-07-11 10:00:00,621.0,622.8,620.35,622.7,3686
4,2022-07-11 10:15:00,622.7,622.7,618.85,620.35,5019
5,2022-07-11 10:30:00,620.35,621.9,620.0,620.65,5174
6,2022-07-11 10:45:00,620.65,621.3,620.35,621.0,5332
7,2022-07-11 11:00:00,621.0,624.1,621.0,622.3,7441
8,2022-07-11 11:15:00,622.3,622.3,620.6,621.35,7708
9,2022-07-11 11:30:00,621.35,622.05,615.25,616.35,12199
10,2022-07-11 11:45:00,615.1,617.45,614.0,615.95,13689
11,2022-07-11 12:00:00,615.95,617.2,615.9,616.85,14328
12,2022-07-11 12:15:00,615.5,617.3,615.5,616.0,15095
13,2022-07-11 12:30:00,616.0,617.05,614.0,616.0,18302
14,2022-07-11 12:45:00,616.0,616.0,615.75,615.75,18602
15,2022-07-11 13:00:00,615.75,616.0,615.7,616.0,20740
16,2022-07-11 13:15:00,616.0,617.8,615.5,617.5,23179
17,2022-07-11 13:30:00,617.5,618.0,617.25,617.95,23677
18,2022-07-11 13:45:00,617.95,618.65,617.95,618.15,23751
19,2022-07-11 14:00:00,618.15,625.05,617.3,623.1,26310
20,2022-07-11 14:15:00,623.1,623.7,620.6,621.9,26652
21,2022-07-11 14:30:00,621.9,623.0,621.9,622.15,26952
22,2022-07-11 14:45:00,621.55,621.55,617.6,619.5,28639
23,2022-07-11 15:00:00,619.5,622.3,617.9,622.3,29620
24,2022-07-11 15:15:00,622.3,624.0,620.0,620.15,34094
25,2022-07-11 15:30:00,621.75,621.75,621.75,621.75,34094
26,2022-07-12 09:15:00,622.45,625.55,620.15,620.75,853
27,2022-07-12 09:30:00,620.7,621.55,620.45,620.75,1348
28,2022-07-12 09:45:00,620.75,622.35,620.75,622.35,1684
29,2022-07-12 10:00:00,623.0,623.0,621.6,622.4,2169
30,2022-07-12 10:15:00,622.4,622.4,620.05,621.1,3120
31,2022-07-12 10:30:00,621.1,622.75,620.2,621.7,3573
32,2022-07-12 10:45:00,621.7,622.4,621.0,621.0,3857
