,Date,o,h,l,c,v
0,2022-07-25 09:15:00,1480.0,1498.0,1467.0,1467.0,18507
1,2022-07-25 09:30:00,1466.1,1480.9,1466.0,1470.0,44158
2,2022-07-25 09:45:00,1470.0,1476.05,1469.15,1473.5,54731
3,2022-07-25 10:00:00,1471.45,1474.9,1469.15,1474.9,65016
4,2022-07-25 10:15:00,1474.9,1475.75,1470.5,1471.9,71911
5,2022-07-25 10:30:00,1471.9,1474.35,1470.0,1470.0,79138
6,2022-07-25 10:45:00,1470.0,1474.8,1469.35,1472.75,91319
7,2022-07-25 11:00:00,1472.75,1472.8,1470.0,1471.5,97047
8,2022-07-25 11:15:00,1471.5,1474.75,1470.0,1473.05,101504
9,2022-07-25 11:30:00,1473.05,1474.9,1471.05,1472.2,105280
10,2022-07-25 11:45:00,1472.2,1475.75,1471.0,1475.6,109966
11,2022-07-25 12:00:00,1475.6,1475.6,1470.05,1472.55,112419
12,2022-07-25 12:15:00,1472.55,1473.5,1470.0,1470.65,115912
13,2022-07-25 12:30:00,1470.65,1478.1,1470.0,1477.8,121704
14,2022-07-25 12:45:00,1477.8,1486.9,1476.7,1486.9,130904
15,2022-07-25 13:00:00,1486.9,1488.65,1483.8,1485.45,160869
16,2022-07-25 13:15:00,1485.3,1486.4,1484.1,1485.0,266522
17,2022-07-25 13:30:00,1485.0,1491.0,1484.1,1490.5,267884
18,2022-07-25 13:45:00,1490.5,1490.75,1485.8,1486.85,269614
19,2022-07-25 14:00:00,1487.0,1495.55,1485.5,1485.5,273790
20,2022-07-25 14:15:00,1485.5,1491.3,1485.0,1487.0,281787
21,2022-07-25 14:30:00,1487.0,1488.6,1484.4,1484.95,286676
22,2022-07-25 14:45:00,1484.95,1489.75,1484.4,1487.0,293085
23,2022-07-25 15:00:00,1487.0,1489.95,1483.3,1486.75,301117
24,2022-07-25 15:15:00,1485.9,1488.0,1480.0,1487.8,311369
25,2022-07-25 15:30:00,1484.45,1484.45,1484.45,1484.45,315581
