,Date,o,h,l,c,v
0,2022-07-25 09:15:00,503.15,508.35,500.6,505.5,31619
1,2022-07-25 09:30:00,505.5,506.0,502.4,503.1,78612
2,2022-07-25 09:45:00,503.1,503.75,501.25,502.75,118204
3,2022-07-25 10:00:00,502.75,505.45,501.85,503.6,482486
4,2022-07-25 10:15:00,503.6,503.65,501.9,503.0,677656
5,2022-07-25 10:30:00,503.0,506.25,502.85,505.5,748063
6,2022-07-25 10:45:00,505.5,505.95,505.0,505.4,760680
7,2022-07-25 11:00:00,505.4,508.0,504.85,507.4,802959
8,2022-07-25 11:15:00,507.4,509.2,507.15,507.45,845821
9,2022-07-25 11:30:00,507.35,508.0,507.0,507.35,871705
10,2022-07-25 11:45:00,507.35,507.8,507.0,507.75,884326
11,2022-07-25 12:00:00,507.75,507.9,506.0,506.85,903826
12,2022-07-25 12:15:00,506.85,507.0,505.85,505.85,917540
13,2022-07-25 12:30:00,505.85,506.05,505.55,506.0,935585
14,2022-07-25 12:45:00,506.0,506.15,505.8,506.1,939957
15,2022-07-25 13:00:00,506.1,506.1,505.6,505.6,946920
16,2022-07-25 13:15:00,505.6,506.3,505.35,506.0,957827
17,2022-07-25 13:30:00,506.0,506.05,505.65,506.0,967542
18,2022-07-25 13:45:00,506.0,506.0,503.9,504.05,979285
19,2022-07-25 14:00:00,504.3,505.7,503.75,505.05,995140
20,2022-07-25 14:15:00,505.05,506.0,505.05,505.8,1007646
21,2022-07-25 14:30:00,505.8,505.95,505.0,505.95,1016134
22,2022-07-25 14:45:00,505.95,506.35,505.5,505.85,1029729
23,2022-07-25 15:00:00,505.85,506.0,504.2,504.2,1082962
24,2022-07-25 15:15:00,504.2,505.0,502.0,505.0,1126244
25,2022-07-25 15:30:00,503.5,504.25,503.5,504.25,1153090
