,Date,o,h,l,c,v
0,2022-07-25 09:15:00,1238.95,1239.65,1227.0,1235.15,21922
1,2022-07-25 09:30:00,1235.15,1235.5,1228.05,1232.15,36962
2,2022-07-25 09:45:00,1232.15,1232.15,1221.3,1224.85,50150
3,2022-07-25 10:00:00,1224.85,1230.0,1223.65,1230.0,70051
4,2022-07-25 10:15:00,1230.0,1232.0,1228.0,1231.25,84388
5,2022-07-25 10:30:00,1231.25,1233.45,1228.35,1231.9,91501
6,2022-07-25 10:45:00,1231.9,1233.95,1229.6,1232.15,100805
7,2022-07-25 11:00:00,1232.2,1235.05,1229.4,1231.9,110307
8,2022-07-25 11:15:00,1231.9,1239.0,1230.5,1236.0,121747
9,2022-07-25 11:30:00,1235.95,1244.45,1235.6,1242.25,138151
10,2022-07-25 11:45:00,1242.1,1244.75,1241.5,1243.1,159122
11,2022-07-25 12:00:00,1243.1,1244.0,1237.45,1238.45,167990
12,2022-07-25 12:15:00,1239.35,1240.2,1237.5,1237.7,187618
13,2022-07-25 12:30:00,1237.7,1238.65,1233.8,1234.0,211869
14,2022-07-25 12:45:00,1234.0,1234.95,1229.15,1229.7,219457
15,2022-07-25 13:00:00,1229.7,1230.8,1229.2,1230.0,230119
16,2022-07-25 13:15:00,1230.0,1232.0,1225.7,1231.0,247843
17,2022-07-25 13:30:00,1231.0,1232.05,1224.65,1227.75,304792
18,2022-07-25 13:45:00,1227.75,1233.0,1227.75,1232.1,330972
19,2022-07-25 14:00:00,1232.1,1235.3,1231.05,1234.95,337195
20,2022-07-25 14:15:00,1234.95,1237.0,1234.45,1235.7,340876
21,2022-07-25 14:30:00,1235.7,1240.05,1234.85,1236.8,349921
22,2022-07-25 14:45:00,1236.8,1236.8,1232.0,1233.0,353742
23,2022-07-25 15:00:00,1233.2,1236.0,1230.0,1231.85,360574
24,2022-07-25 15:15:00,1231.85,1234.9,1230.75,1232.5,374084
25,2022-07-25 15:30:00,1232.5,1232.55,1232.5,1232.55,381673
