,Date,o,h,l,c,v
0,2022-07-25 09:15:00,39.0,39.0,38.4,38.65,768811
1,2022-07-25 09:30:00,38.65,38.7,38.2,38.3,1299240
2,2022-07-25 09:45:00,38.3,38.3,38.1,38.25,1719967
3,2022-07-25 10:00:00,38.25,38.3,38.15,38.2,2113780
4,2022-07-25 10:15:00,38.15,38.3,38.0,38.3,2818491
5,2022-07-25 10:30:00,38.3,38.45,38.2,38.45,3222479
6,2022-07-25 10:45:00,38.45,38.7,38.35,38.5,3516597
7,2022-07-25 11:00:00,38.5,38.55,38.25,38.3,3828298
8,2022-07-25 11:15:00,38.3,38.55,38.25,38.5,4054447
9,2022-07-25 11:30:00,38.5,38.6,38.45,38.6,4248552
10,2022-07-25 11:45:00,38.6,38.85,38.55,38.8,4378759
11,2022-07-25 12:00:00,38.8,38.85,38.65,38.7,4547236
12,2022-07-25 12:15:00,38.7,38.85,38.7,38.85,4695873
13,2022-07-25 12:30:00,38.85,38.85,38.75,38.8,4796948
14,2022-07-25 12:45:00,38.8,38.8,38.7,38.8,4871682
15,2022-07-25 13:00:00,38.8,38.85,38.75,38.85,4947672
16,2022-07-25 13:15:00,38.85,38.85,38.75,38.8,5025351
17,2022-07-25 13:30:00,38.8,38.8,38.7,38.75,5089424
18,2022-07-25 13:45:00,38.8,38.8,38.7,38.75,5149169
19,2022-07-25 14:00:00,38.75,38.8,38.7,38.8,5211515
20,2022-07-25 14:15:00,38.7,38.75,38.6,38.65,5345285
21,2022-07-25 14:30:00,38.7,38.75,38.65,38.65,5436982
22,2022-07-25 14:45:00,38.7,38.75,38.6,38.65,5544071
23,2022-07-25 15:00:00,38.7,38.75,38.65,38.7,5679067
24,2022-07-25 15:15:00,38.7,38.75,38.5,38.75,6008520
25,2022-07-25 15:30:00,38.75,38.75,38.65,38.65,6211843
